schengen_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
Austria,ALBANIA,TIRANA,50.0,39.0,6.0,0.1333333333333333,2022
Austria,ALGERIA,ALGIERS,2047.0,1213.0,831.0,0.4065557729941291,2022
Austria,ARGENTINA,BUENOS AIRES,18.0,18.0,0.0,0.0,2022
Austria,AUSTRALIA,CANBERRA,1776.0,1751.0,22.0,0.0124083474337281,2022
Austria,AZERBAIJAN,BAKU,1788.0,1751.0,33.0,0.0184977578475336,2022
Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,1543.0,1270.0,13.0,0.010132501948558,2022
Austria,BRAZIL,BRASILIA,50.0,23.0,0.0,0.0,2022
Austria,BULGARIA,SOFIA,382.0,367.0,4.0,0.0107816711590296,2022
Austria,CANADA,OTTAWA,651.0,632.0,8.0,0.0125,2022
Austria,CHILE,SANTIAGO DE CHILE,21.0,21.0,0.0,0.0,2022
Austria,CHINA,BEIJING,1129.0,819.0,310.0,0.2745792736935341,2022
Austria,CHINA,SHANGHAI,488.0,471.0,17.0,0.0348360655737704,2022
Austria,COLOMBIA,BOGOTA,29.0,28.0,0.0,0.0,2022
Austria,CROATIA,ZAGREB,260.0,158.0,89.0,0.3603238866396761,2022
Austria,CUBA,HAVANA,667.0,428.0,239.0,0.3583208395802099,2022
Austria,CYPRUS,NICOSIA,1588.0,1532.0,52.0,0.0328282828282828,2022
Austria,EGYPT,CAIRO,3529.0,2947.0,566.0,0.1611158553942499,2022
Austria,ETHIOPIA,ADDIS ABEBA,1099.0,743.0,345.0,0.3170955882352941,2022
Austria,GEORGIA,TBILISSI,7.0,6.0,1.0,0.1428571428571428,2022
Austria,GERMANY,MUNICH,129.0,123.0,1.0,0.0080645161290322,2022
Austria,HONG KONG S.A.R.,HONG KONG,183.0,181.0,2.0,0.0109289617486338,2022
Austria,INDIA,NEW DELHI,24791.0,18835.0,5945.0,0.239911218724778,2022
Austria,INDONESIA,JAKARTA,4442.0,4426.0,16.0,0.0036019810895992,2022
Austria,IRAN,TEHERAN,4343.0,3236.0,974.0,0.2313539192399049,2022
Austria,IRELAND,DUBLIN,897.0,867.0,30.0,0.0334448160535117,2022
Austria,ISRAEL,TEL AVIV,556.0,483.0,57.0,0.1055555555555555,2022
Austria,JAPAN,TOKYO,218.0,216.0,2.0,0.0091743119266055,2022
Austria,JORDAN,AMMAN,4147.0,3367.0,767.0,0.1855345911949685,2022
Austria,KAZAKHSTAN,ASTANA,4246.0,3126.0,1138.0,0.2668855534709193,2022
Austria,KENYA,NAIROBI,1257.0,865.0,392.0,0.3118536197295147,2022
Austria,KUWAIT,KUWAIT,4950.0,4461.0,419.0,0.0858606557377049,2022
Austria,LEBANON,BEIRUT,526.0,415.0,108.0,0.2065009560229445,2022
Austria,MALAYSIA,KUALA LUMPUR,486.0,470.0,16.0,0.0329218106995884,2022
Austria,MEXICO,MEXICO CITY,34.0,30.0,0.0,0.0,2022
Austria,MOROCCO,RABAT,1503.0,956.0,534.0,0.3583892617449664,2022
Austria,NIGERIA,ABUJA,1720.0,1093.0,623.0,0.363053613053613,2022
Austria,NORTH MACEDONIA,SKOPJE,861.0,144.0,78.0,0.3513513513513513,2022
Austria,OMAN,MUSCAT,1914.0,1830.0,84.0,0.0438871473354232,2022
Austria,PAKISTAN,ISLAMABAD,1363.0,668.0,84.0,0.1117021276595744,2022
Austria,PERU,LIMA,27.0,27.0,0.0,0.0,2022
Austria,PHILIPPINES,MANILA,2404.0,2195.0,209.0,0.0869384359400998,2022
Austria,ROMANIA,BUCHAREST,193.0,181.0,9.0,0.0473684210526315,2022
Austria,RUSSIAN FEDERATION,MURMANSK,13292.0,9523.0,3690.0,0.2792704154998864,2022
Austria,SAUDI ARABIA,RIYADH,16695.0,16387.0,297.0,0.0178014864540877,2022
Austria,SENEGAL,DAKAR,613.0,375.0,237.0,0.3872549019607843,2022
Austria,SERBIA,BELGRADE,795.0,758.0,21.0,0.0269576379974326,2022
Austria,SLOVAKIA,BRATISLAVA,80.0,77.0,1.0,0.0128205128205128,2022
Austria,SLOVENIA,LJUBLJANA,54.0,51.0,1.0,0.0192307692307692,2022
Austria,SOUTH AFRICA,PRETORIA,5552.0,5301.0,185.0,0.0337222019686474,2022
Austria,SOUTH KOREA,SEOUL,107.0,97.0,10.0,0.0934579439252336,2022
Austria,SYRIA,DAMASCUS,358.0,153.0,197.0,0.5628571428571428,2022
Austria,TAIWAN,TAIPEI,74.0,72.0,2.0,0.027027027027027,2022
Austria,THAILAND,BANGKOK,8453.0,8140.0,312.0,0.0369143398012304,2022
Austria,TUNISIA,TUNIS,2152.0,1295.0,852.0,0.3968327899394503,2022
Austria,TÜRKIYE,ISTANBUL,12815.0,10189.0,2613.0,0.2041087330104671,2022
Austria,UKRAINE,KYIV,98.0,77.0,21.0,0.2142857142857142,2022
Austria,UNITED ARAB EMIRATES,ABU DHABI,5800.0,4543.0,1080.0,0.1920682909478925,2022
Austria,UNITED KINGDOM,LONDON,2729.0,2525.0,191.0,0.0703240058910162,2022
Austria,USA,"LOS ANGELES, CA",748.0,729.0,18.0,0.0240963855421686,2022
Austria,USA,"NEW YORK, NY",1249.0,1181.0,52.0,0.0421735604217356,2022
Austria,USA,"WASHINGTON, DC",484.0,459.0,23.0,0.0477178423236514,2022
