,origin_country,origin_consulate,country,city,latitude,longitude
0,RUSSIAN FEDERATION,ST. PETERSBURG,RUSSIAN FEDERATION,ST. PETERSBURG,59.938732,30.316229
1,RUSSIAN FEDERATION,MOSCOW,RUSSIAN FEDERATION,MOSCOW,55.7504461,37.6174943
7,ALGERIA,ALGIERS,ALGERIA,ALGIERS,36.7753606,3.0601882
8,UKRAINE,LVOV,UKRAINE,LVOV,49.841952,24.0315921
9,CHINA,BEIJING,CHINA,BEIJING,39.906217,116.3912757
10,BELARUS,MINSK,BELARUS,MINSK,53.9024716,27.5618225
11,CHINA,SHANGHAI,CHINA,SHANGHAI,31.2322758,121.4692071
15,UKRAINE,LUTSK,UKRAINE,LUTSK,50.7450733,25.320078
17,UKRAINE,KIEV,UKRAINE,KIEV,50.4500336,30.5241361
20,TURKEY,ISTANBUL,TURKEY,ISTANBUL,41.0091982,28.9662187
23,BELARUS,BREST,BELARUS,BREST,52.093751,23.6851851
25,TUNISIA,TUNIS,TUNISIA,TUNIS,33.8439408,9.400138
26,ALGERIA,ORAN,ALGERIA,ORAN,35.7032751,-0.6492976
27,CHINA,CHENGDU,CHINA,CHENGDU,30.6598628,104.0633717
32,CHINA,GUANGZHOU (CANTON),CHINA,GUANGZHOU (CANTON),23.1301964,113.2592945
33,COLOMBIA,BOGOTA,COLOMBIA,BOGOTA,4.6533326,-74.083652
34,BELARUS,GRODNO,BELARUS,GRODNO,53.6834599,23.8342648
35,ALGERIA,ANNABA,ALGERIA,ANNABA,36.8982165,7.7549272
37,MOROCCO,CASABLANCA,MOROCCO,CASABLANCA,33.5675527,-7.618756606822727
38,UNITED KINGDOM,LONDON,UNITED KINGDOM,LONDON,51.5073219,-0.1276474
40,RUSSIAN FEDERATION,KALININGRAD,RUSSIAN FEDERATION,KALININGRAD,54.710128,20.5105838
44,RUSSIAN FEDERATION,PETROZAVODSK,RUSSIAN FEDERATION,PETROZAVODSK,61.783901,34.44464792471686
45,INDIA,MUMBAI,INDIA,MUMBAI,19.0759899,72.8773928
47,TURKEY,ANKARA,TURKEY,ANKARA,39.9207886,32.8540482
50,UNITED ARAB EMIRATES,DUBAI,UNITED ARAB EMIRATES,DUBAI,25.2653471,55.2924914
51,ANGOLA,LUANDA,ANGOLA,LUANDA,-8.8272699,13.2439512
52,UKRAINE,VINNYTSYA,UKRAINE,VINNYTSYA,49.2392809,28.5110617
56,SAUDI ARABIA,JEDDAH,SAUDI ARABIA,JEDDAH,21.5810088,39.1653612
57,EGYPT,CAIRO,EGYPT,CAIRO,30.0443879,31.2357257
59,SAUDI ARABIA,RIYADH,SAUDI ARABIA,RIYADH,24.638916,46.7160104
60,KUWAIT,KUWAIT,KUWAIT,KUWAIT,29.2733964,47.4979476
62,RUSSIAN FEDERATION,NOVOSIBIRSK,RUSSIAN FEDERATION,NOVOSIBIRSK,55.0282171,82.9234509
65,RUSSIAN FEDERATION,MURMANSK,RUSSIAN FEDERATION,MURMANSK,68.970665,33.07497
68,MOROCCO,TANGER,MOROCCO,TANGER,35.777103,-5.803792
69,UKRAINE,UZHHOROD,UKRAINE,UZHHOROD,48.6223732,22.3022569
72,THAILAND,BANGKOK,THAILAND,BANGKOK,13.7525438,100.4934734
73,MOROCCO,RABAT,MOROCCO,RABAT,34.022405,-6.834543
77,RUSSIAN FEDERATION,NOVOROSSIISK,RUSSIAN FEDERATION,NOVOROSSIISK,44.7239578,37.7690711
81,MOROCCO,FES,MOROCCO,FES,34.0346534,-5.0161926
82,LEBANON,BEIRUT,LEBANON,BEIRUT,33.88922645,35.50255852895232
84,UKRAINE,KHARKOV,UKRAINE,KHARKOV,49.9923181,36.2310146
88,"IRAN, ISLAMIC REPUBLIC OF",TEHERAN,"IRAN, ISLAMIC REPUBLIC OF",TEHERAN,35.7447916,51.41666085836621
94,NIGERIA,LAGOS,NIGERIA,LAGOS,6.4550575,3.3941795
96,RUSSIAN FEDERATION,YEKATERINBURG,RUSSIAN FEDERATION,YEKATERINBURG,56.839104,60.60825
99,INDONESIA,JAKARTA,INDONESIA,JAKARTA,-6.1753942,106.827183
100,PERU,LIMA,PERU,LIMA,-12.0621065,-77.0365256
102,TURKEY,IZMIR,TURKEY,IZMIR,38.4224548,27.1310699
108,INDIA,NEW DELHI,INDIA,NEW DELHI,28.6138954,77.2090057
116,BELARUS,VITSYEBSK,BELARUS,VITEBSK,55.1930197,30.2070437
118,KOSOVO,PRISTINA,KOSOVO,PRISTINA,42.6638771,21.1640849
126,COTE D'IVOIRE,ABIDJAN ,COTE D'IVOIRE,ABIDJAN ,5.320357,-4.016107
128,QATAR,DOHA,QATAR,DOHA,25.2856329,51.5264162
130,UNITED ARAB EMIRATES,ABU DHABI,UNITED ARAB EMIRATES,ABU DHABI,24.4538352,54.3774014
131,SENEGAL,DAKAR,SENEGAL,DAKAR,14.693425,-17.447938
138,UKRAINE,BEREHOVE,UKRAINE,BEREHOVE,48.2050985,22.6453246
140,PHILIPPINES,MANILA,PHILIPPINES,MANILA,14.5948914,120.9782618
142,UKRAINE,ODESSA,UKRAINE,ODESSA,46.4843023,30.7322878
147,CHINA,WUHAN,CHINA,WUHAN,30.5951051,114.2999353
149,RUSSIAN FEDERATION,PSKOV,RUSSIAN FEDERATION,PSKOV,57.8173923,28.3343465
153,INDIA,BANGALORE,INDIA,BANGALORE,12.9767936,77.590082
155,SOUTH AFRICA,JOHANNESBURG,SOUTH AFRICA,JOHANNESBURG,-26.205,28.049722
158,KAZAKHSTAN,ASTANA,KAZAKHSTAN,ASTANA,51.15092055,71.4388595154859
166,SOUTH AFRICA,CAPE TOWN,SOUTH AFRICA,CAPE TOWN,-33.928992,18.417396
169,KAZAKHSTAN,ALMATY,KAZAKHSTAN,ALMATY,43.2363924,76.9457275
171,DOMINICAN REPUBLIC,SANTO DOMINGO,DOMINICAN REPUBLIC,SANTO DOMINGO,18.4801972,-69.942111
173,SOUTH AFRICA,PRETORIA,SOUTH AFRICA,PRETORIA,-25.7459277,28.1879101
179,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",KINSHASA,DEMOCRATIC REPUBLIC OF THE CONGO,KINSHASA,-4.3217055,15.3125974
181,TURKEY,EDIRNE,TURKEY,EDIRNE,41.6759327,26.5587225
184,GEORGIA,TBILISSI,GEORGIA,TBILISSI,41.6934591,44.8014495
