,eu_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
0,Austria,ALBANIA,TIRANA,62.0,32.0,9.0,0.21951219512195122,2018
1,Austria,ALGERIA,ALGIERS,2481.0,1658.0,822.0,0.33145161290322583,2018
2,Austria,ARGENTINA,BUENOS AIRES,16.0,16.0,0.0,0.0,2018
3,Austria,AUSTRALIA,CANBERRA,2776.0,2653.0,122.0,0.043963963963963966,2018
4,Austria,AZERBAIJAN,BAKU,1976.0,1895.0,79.0,0.04002026342451875,2018
5,Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,616.0,615.0,1.0,0.0016233766233766235,2018
6,Austria,BRAZIL,BRASILIA,37.0,37.0,0.0,0.0,2018
7,Austria,BULGARIA,SOFIA,217.0,199.0,5.0,0.024509803921568627,2018
8,Austria,CANADA,OTTAWA,686.0,659.0,26.0,0.03795620437956204,2018
9,Austria,CHILE,SANTIAGO DE CHILE,22.0,22.0,0.0,0.0,2018
10,Austria,CHINA,BEIJING,36365.0,35764.0,597.0,0.016418690355050742,2018
11,Austria,CHINA,SHANGHAI,45037.0,44636.0,401.0,0.008903790216932744,2018
12,Austria,COLOMBIA,BOGOTA,19.0,16.0,3.0,0.15789473684210525,2018
13,Austria,CROATIA,ZAGREB,261.0,224.0,14.0,0.058823529411764705,2018
14,Austria,CUBA,HAVANA,521.0,490.0,31.0,0.05950095969289827,2018
15,Austria,CYPRUS,NICOSIA,494.0,485.0,5.0,0.01020408163265306,2018
16,Austria,EGYPT,CAIRO,4993.0,4132.0,822.0,0.16592652402099314,2018
17,Austria,ETHIOPIA,ADDIS ABEBA,670.0,638.0,23.0,0.03479576399394856,2018
18,Austria,GERMANY,MUNICH,111.0,106.0,2.0,0.018518518518518517,2018
19,Austria,HONG KONG S.A.R.,HONG KONG,495.0,493.0,2.0,0.00404040404040404,2018
20,Austria,INDIA,NEW DELHI,36820.0,34792.0,2002.0,0.0544110452791216,2018
21,Austria,INDONESIA,JAKARTA,6345.0,6325.0,20.0,0.0031520882584712374,2018
22,Austria,IRAN,TEHERAN,9179.0,5327.0,3692.0,0.4093580219536534,2018
23,Austria,IRELAND,DUBLIN,575.0,574.0,1.0,0.0017391304347826088,2018
24,Austria,ISRAEL,TEL AVIV,641.0,592.0,46.0,0.07210031347962383,2018
25,Austria,JAPAN,TOKYO,543.0,543.0,0.0,0.0,2018
26,Austria,JORDAN,AMMAN,3779.0,3232.0,515.0,0.1374432879637043,2018
27,Austria,KAZAKHSTAN,ASTANA,6698.0,6559.0,137.0,0.020459976105137397,2018
28,Austria,KENYA,NAIROBI,1390.0,1131.0,253.0,0.18280346820809248,2018
29,Austria,KUWAIT,KUWAIT,10502.0,9933.0,380.0,0.036846698341898576,2018
30,Austria,LEBANON,BEIRUT,3007.0,2842.0,139.0,0.04662864810466286,2018
31,Austria,MALAYSIA,KUALA LUMPUR,653.0,604.0,49.0,0.07503828483920368,2018
32,Austria,MEXICO,MEXICO CITY,38.0,38.0,0.0,0.0,2018
33,Austria,MOROCCO,RABAT,984.0,632.0,350.0,0.3564154786150713,2018
34,Austria,NIGERIA,ABUJA,1933.0,950.0,893.0,0.4845360824742268,2018
35,Austria,NORTH MACEDONIA,SKOPJE,1274.0,15.0,341.0,0.9578651685393258,2018
36,Austria,PAKISTAN,ISLAMABAD,1179.0,626.0,552.0,0.4685908319185059,2018
37,Austria,PERU,LIMA,12.0,12.0,0.0,0.0,2018
38,Austria,PHILIPPINES,MANILA,4601.0,4224.0,377.0,0.0819387089763095,2018
39,Austria,ROMANIA,BUCHAREST,256.0,237.0,19.0,0.07421875,2018
40,Austria,RUSSIAN FEDERATION,MOSCOW,40262.0,39429.0,697.0,0.017370283606639086,2018
41,Austria,SAUDI ARABIA,RIYADH,13244.0,9179.0,352.0,0.036932116252229565,2018
42,Austria,SENEGAL,DAKAR,1157.0,535.0,622.0,0.5375972342264477,2018
43,Austria,SERBIA,BELGRADE,540.0,519.0,21.0,0.03888888888888889,2018
44,Austria,SLOVAKIA,BRATISLAVA,33.0,31.0,1.0,0.03125,2018
45,Austria,SLOVENIA,LJUBLJANA,25.0,25.0,0.0,0.0,2018
46,Austria,SOUTH AFRICA,PRETORIA,6412.0,5615.0,129.0,0.022458217270194987,2018
47,Austria,SOUTH KOREA,SEOUL,188.0,183.0,5.0,0.026595744680851064,2018
48,Austria,SYRIA,DAMASCUS,231.0,222.0,0.0,0.0,2018
49,Austria,TAIWAN,TAIPEI,154.0,150.0,4.0,0.025974025974025976,2018
50,Austria,THAILAND,BANGKOK,21487.0,21174.0,313.0,0.014566947456601666,2018
51,Austria,TUNISIA,TUNIS,1947.0,1415.0,530.0,0.27249357326478146,2018
52,Austria,TURKEY,ANKARA,5308.0,5300.0,6.0,0.0011307953260459858,2018
53,Austria,TURKEY,ISTANBUL,13202.0,10813.0,2382.0,0.18052292535051156,2018
54,Austria,UKRAINE,KYIV,1697.0,1640.0,53.0,0.03130537507383343,2018
55,Austria,UNITED ARAB EMIRATES,ABU DHABI,4612.0,3707.0,875.0,0.19096464426014842,2018
56,Austria,UNITED KINGDOM,LONDON,3162.0,2940.0,188.0,0.06010230179028133,2018
57,Austria,USA,"LOS ANGELES, CA",738.0,711.0,27.0,0.036585365853658534,2018
58,Austria,USA,"NEW YORK, NY",1007.0,950.0,55.0,0.05472636815920398,2018
59,Austria,USA,"WASHINGTON, DC",474.0,460.0,12.0,0.025423728813559324,2018
60,Austria,VENEZUELA,CARACAS,4.0,4.0,0.0,0.0,2018
61,Austria,VIETNAM,HANOI,1985.0,1887.0,96.0,0.048411497730711045,2018
62,Belgium,ALGERIA,ALGIERS,6901.0,3802.0,2480.0,0.3947787328876154,2018
63,Belgium,ANGOLA,LUANDA,1909.0,1045.0,788.0,0.4298963447899618,2018
64,Belgium,ARGENTINA,BUENOS AIRES,12.0,10.0,0.0,0.0,2018
65,Belgium,AUSTRALIA,CANBERRA,260.0,231.0,7.0,0.029411764705882353,2018
66,Belgium,AUSTRIA,VIENNA,1.0,1.0,0.0,0.0,2018
67,Belgium,BELGIUM,BRUSSELS,26.0,23.0,0.0,0.0,2018
68,Belgium,BRAZIL,SAO PAULO,38.0,23.0,7.0,0.23333333333333334,2018
69,Belgium,BULGARIA,SOFIA,83.0,72.0,4.0,0.05263157894736842,2018
70,Belgium,BURKINA FASO,OUAGADOUGOU,2790.0,2064.0,550.0,0.21040550879877581,2018
71,Belgium,BURUNDI,BUJUMBURA,3547.0,2320.0,796.0,0.2554557124518614,2018
72,Belgium,CAMEROON,YAONDE,4349.0,2493.0,1540.0,0.3818497396479048,2018
73,Belgium,CANADA,MONTREAL,750.0,519.0,138.0,0.2100456621004566,2018
74,Belgium,CHILE,SANTIAGO DE CHILE,68.0,44.0,9.0,0.16981132075471697,2018
75,Belgium,CHINA,BEIJING,26525.0,25595.0,777.0,0.02946306688912483,2018
76,Belgium,CHINA,GUANGZHOU (CANTON),5685.0,5476.0,192.0,0.03387438249823571,2018
77,Belgium,CHINA,SHANGHAI,7365.0,7045.0,225.0,0.030949105914718018,2018
78,Belgium,COLOMBIA,BOGOTA,16.0,14.0,0.0,0.0,2018
79,Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,2289.0,1634.0,1643.0,0.5013732072017089,2018
80,Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,83.0,59.0,72.0,0.549618320610687,2018
81,Belgium,COTE D'IVOIRE,ABIDJAN ,2688.0,1624.0,984.0,0.3773006134969325,2018
82,Belgium,CROATIA,ZAGREB,21.0,16.0,2.0,0.1111111111111111,2018
83,Belgium,CUBA,HAVANA,1414.0,1127.0,174.0,0.1337432744043044,2018
84,Belgium,CZECH REPUBLIC,PRAGUE,1.0,0.0,1.0,1.0,2018
85,Belgium,EGYPT,CAIRO,3250.0,1946.0,1111.0,0.36342819757932615,2018
86,Belgium,ETHIOPIA,ADDIS ABEBA,1132.0,858.0,149.0,0.14796425024826215,2018
87,Belgium,FINLAND,HELSINKI,5.0,4.0,0.0,0.0,2018
88,Belgium,FRANCE,PARIS,7.0,5.0,0.0,0.0,2018
89,Belgium,GERMANY,BERLIN,4.0,3.0,1.0,0.25,2018
90,Belgium,GREECE,ATHENS,9.0,7.0,0.0,0.0,2018
91,Belgium,HONG KONG S.A.R.,HONG KONG,622.0,588.0,23.0,0.03764320785597381,2018
92,Belgium,HUNGARY,BUDAPEST,4.0,3.0,0.0,0.0,2018
93,Belgium,INDIA,MUMBAI,19162.0,18360.0,551.0,0.029136481412934272,2018
94,Belgium,INDIA,NEW DELHI,7117.0,6052.0,888.0,0.12795389048991354,2018
95,Belgium,INDONESIA,JAKARTA,238.0,224.0,2.0,0.008849557522123894,2018
96,Belgium,IRAN,TEHERAN,6306.0,3860.0,1883.0,0.327877415984677,2018
97,Belgium,IRELAND,DUBLIN,763.0,682.0,10.0,0.014450867052023121,2018
98,Belgium,ISRAEL,JERUSALEM,760.0,429.0,267.0,0.38362068965517243,2018
99,Belgium,ISRAEL,TEL AVIV,97.0,86.0,12.0,0.12244897959183673,2018
100,Belgium,ITALY,ROME,3.0,3.0,0.0,0.0,2018
101,Belgium,JAMAICA,KINGSTON,1083.0,885.0,70.0,0.07329842931937172,2018
102,Belgium,JAPAN,TOKYO,338.0,311.0,15.0,0.046012269938650305,2018
103,Belgium,JORDAN,AMMAN,1903.0,1168.0,267.0,0.18606271777003483,2018
104,Belgium,KENYA,NAIROBI,1651.0,1301.0,208.0,0.13783962889330684,2018
105,Belgium,KUWAIT,KUWAIT,2177.0,1901.0,183.0,0.08781190019193857,2018
106,Belgium,LEBANON,BEIRUT,3314.0,2175.0,920.0,0.2972536348949919,2018
107,Belgium,MALAYSIA,KUALA LUMPUR,127.0,116.0,18.0,0.13432835820895522,2018
108,Belgium,MEXICO,MEXICO CITY,56.0,51.0,0.0,0.0,2018
109,Belgium,MOROCCO,CASABLANCA,12889.0,5809.0,6111.0,0.5126677852348993,2018
110,Belgium,MOROCCO,RABAT,567.0,513.0,3.0,0.005813953488372093,2018
111,Belgium,NETHERLANDS,THE HAGUE,9.0,5.0,3.0,0.375,2018
112,Belgium,NIGERIA,ABUJA,3827.0,1898.0,1756.0,0.48056923918992883,2018
113,Belgium,PAKISTAN,ISLAMABAD,2813.0,1177.0,1354.0,0.5349664164361912,2018
114,Belgium,PANAMA,PANAMA CITY,11.0,8.0,3.0,0.2727272727272727,2018
115,Belgium,PERU,LIMA,107.0,89.0,11.0,0.11,2018
116,Belgium,PHILIPPINES,MANILA,5882.0,5261.0,501.0,0.08694897604998264,2018
117,Belgium,POLAND,WARSAW,10.0,5.0,3.0,0.375,2018
118,Belgium,PORTUGAL,LISBON,5.0,5.0,0.0,0.0,2018
119,Belgium,QATAR,DOHA,1320.0,1132.0,103.0,0.08340080971659919,2018
120,Belgium,ROMANIA,BUCHAREST,85.0,63.0,20.0,0.24096385542168675,2018
121,Belgium,RUSSIAN FEDERATION,MOSCOW,13859.0,13213.0,465.0,0.03399619827460155,2018
122,Belgium,RWANDA,KIGALI,9185.0,7056.0,1712.0,0.19525547445255476,2018
123,Belgium,SAUDI ARABIA,RIYADH,1834.0,1509.0,255.0,0.1445578231292517,2018
124,Belgium,SENEGAL,DAKAR,3431.0,1379.0,1890.0,0.5781584582441114,2018
125,Belgium,SERBIA,BELGRADE,53.0,42.0,9.0,0.17647058823529413,2018
126,Belgium,SINGAPORE,SINGAPORE,915.0,888.0,5.0,0.005599104143337066,2018
127,Belgium,SOUTH AFRICA,CAPE TOWN,1812.0,1750.0,39.0,0.021799888205701508,2018
128,Belgium,SOUTH AFRICA,JOHANNESBURG,3745.0,3512.0,173.0,0.04694708276797829,2018
129,Belgium,SOUTH KOREA,SEOUL,126.0,90.0,34.0,0.27419354838709675,2018
130,Belgium,SPAIN,MADRID,63.0,57.0,6.0,0.09523809523809523,2018
131,Belgium,SWITZERLAND,BERN,6.0,3.0,0.0,0.0,2018
132,Belgium,TAIWAN,TAIPEI,45.0,38.0,1.0,0.02564102564102564,2018
133,Belgium,TANZANIA,DAR ES SALAAM,807.0,715.0,56.0,0.07263294422827497,2018
134,Belgium,THAILAND,BANGKOK,5938.0,5369.0,513.0,0.08721523291397484,2018
135,Belgium,TUNISIA,TUNIS,3655.0,2442.0,1113.0,0.3130801687763713,2018
136,Belgium,TURKEY,ANKARA,1882.0,1137.0,1097.0,0.491047448522829,2018
137,Belgium,TURKEY,ISTANBUL,8465.0,6313.0,1200.0,0.15972314654598696,2018
138,Belgium,UGANDA,KAMPALA,905.0,736.0,114.0,0.13411764705882354,2018
139,Belgium,UKRAINE,KYIV,499.0,434.0,38.0,0.08050847457627118,2018
140,Belgium,UNITED ARAB EMIRATES,ABU DHABI,4372.0,3363.0,759.0,0.1841339155749636,2018
141,Belgium,UNITED KINGDOM,LONDON,7128.0,6138.0,353.0,0.05438299183484825,2018
142,Belgium,USA,"ATLANTA, GA",673.0,581.0,2.0,0.003430531732418525,2018
143,Belgium,USA,"LOS ANGELES, CA",1238.0,1211.0,1.0,0.0008250825082508251,2018
144,Belgium,USA,"NEW YORK, NY",1852.0,914.0,11.0,0.011891891891891892,2018
145,Belgium,USA,"WASHINGTON, DC",859.0,733.0,35.0,0.045572916666666664,2018
146,Belgium,VIETNAM,HANOI,2006.0,1755.0,190.0,0.09768637532133675,2018
147,Czech Republic,AFGHANISTAN,KABUL,108.0,64.0,1.0,0.015384615384615385,2018
148,Czech Republic,ALBANIA,TIRANA,16.0,11.0,4.0,0.26666666666666666,2018
149,Czech Republic,ALGERIA,ALGIERS,996.0,537.0,458.0,0.46030150753768845,2018
150,Czech Republic,ARGENTINA,BUENOS AIRES,2.0,2.0,0.0,0.0,2018
151,Czech Republic,ARMENIA,YEREVAN,3167.0,2635.0,531.0,0.16771951989892608,2018
152,Czech Republic,AUSTRALIA,SYDNEY,407.0,404.0,1.0,0.0024691358024691358,2018
153,Czech Republic,AUSTRIA,VIENNA,12.0,8.0,0.0,0.0,2018
154,Czech Republic,AZERBAIJAN,BAKU,4949.0,4695.0,245.0,0.04959514170040486,2018
155,Czech Republic,BELARUS,MINSK,12749.0,12744.0,5.0,0.00039218762255863204,2018
156,Czech Republic,BELGIUM,BRUSSELS,2.0,2.0,0.0,0.0,2018
157,Czech Republic,BOSNIA AND HERZEGOVINA,SARAJEVO,105.0,104.0,0.0,0.0,2018
158,Czech Republic,BRAZIL,BRASILIA,4.0,4.0,0.0,0.0,2018
159,Czech Republic,BRAZIL,SAO PAULO,21.0,19.0,2.0,0.09523809523809523,2018
160,Czech Republic,BULGARIA,SOFIA,144.0,135.0,9.0,0.0625,2018
161,Czech Republic,CANADA,OTTAWA,92.0,92.0,0.0,0.0,2018
162,Czech Republic,CANADA,TORONTO,392.0,391.0,1.0,0.002551020408163265,2018
163,Czech Republic,CHILE,SANTIAGO DE CHILE,6.0,6.0,0.0,0.0,2018
164,Czech Republic,CHINA,BEIJING,67330.0,65229.0,2099.0,0.031175736692015208,2018
165,Czech Republic,CHINA,CHENGDU,19268.0,18941.0,326.0,0.01692012248923029,2018
166,Czech Republic,CHINA,SHANGHAI,35634.0,34715.0,913.0,0.025625912203884584,2018
167,Czech Republic,COLOMBIA,BOGOTA,5.0,5.0,0.0,0.0,2018
168,Czech Republic,CROATIA,ZAGREB,64.0,63.0,1.0,0.015625,2018
169,Czech Republic,CUBA,HAVANA,415.0,336.0,79.0,0.19036144578313252,2018
170,Czech Republic,EGYPT,CAIRO,2713.0,2015.0,693.0,0.25590841949778437,2018
171,Czech Republic,ETHIOPIA,ADDIS ABEBA,236.0,132.0,103.0,0.43829787234042555,2018
172,Czech Republic,GEORGIA,TBILISSI,274.0,213.0,60.0,0.21978021978021978,2018
173,Czech Republic,GERMANY,BERLIN,11.0,2.0,0.0,0.0,2018
174,Czech Republic,GHANA,ACCRA,764.0,362.0,396.0,0.5224274406332454,2018
175,Czech Republic,GREECE,ATHENS,1.0,0.0,0.0,,2018
176,Czech Republic,HONG KONG S.A.R.,HONG KONG,473.0,471.0,2.0,0.004228329809725159,2018
177,Czech Republic,INDIA,NEW DELHI,26683.0,20449.0,6219.0,0.2332008399580021,2018
178,Czech Republic,INDONESIA,JAKARTA,1628.0,1619.0,7.0,0.004305043050430504,2018
179,Czech Republic,IRAN,TEHERAN,4237.0,1954.0,2264.0,0.5367472735893789,2018
180,Czech Republic,IRAQ,BAGHDAD,398.0,347.0,16.0,0.0440771349862259,2018
181,Czech Republic,IRAQ,ERBIL,145.0,85.0,60.0,0.41379310344827586,2018
182,Czech Republic,IRELAND,DUBLIN,346.0,345.0,1.0,0.002890173410404624,2018
183,Czech Republic,ISRAEL,TEL AVIV,691.0,662.0,29.0,0.041968162083936326,2018
184,Czech Republic,JAPAN,TOKYO,345.0,345.0,0.0,0.0,2018
185,Czech Republic,JORDAN,AMMAN,1850.0,1495.0,346.0,0.18794133623030962,2018
186,Czech Republic,KAZAKHSTAN,ASTANA,16925.0,16554.0,352.0,0.020821010292203953,2018
187,Czech Republic,KENYA,NAIROBI,355.0,314.0,41.0,0.11549295774647887,2018
188,Czech Republic,KUWAIT,KUWAIT,4821.0,4699.0,120.0,0.02490143183233036,2018
189,Czech Republic,LEBANON,BEIRUT,5542.0,4814.0,687.0,0.12488638429376477,2018
190,Czech Republic,MALAYSIA,KUALA LUMPUR,435.0,244.0,189.0,0.43648960739030024,2018
191,Czech Republic,MEXICO,MEXICO CITY,87.0,82.0,2.0,0.023809523809523808,2018
192,Czech Republic,MOLDOVA,CHISINAU,1629.0,1616.0,12.0,0.007371007371007371,2018
193,Czech Republic,MONGOLIA,ULAN BATOR,2755.0,2301.0,454.0,0.1647912885662432,2018
194,Czech Republic,MOROCCO,RABAT,628.0,423.0,205.0,0.32643312101910826,2018
195,Czech Republic,NIGERIA,ABUJA,556.0,336.0,210.0,0.38461538461538464,2018
196,Czech Republic,NORTH KOREA,PYONGYANG,6.0,6.0,0.0,0.0,2018
197,Czech Republic,NORTH MACEDONIA,SKOPJE,1371.0,105.0,193.0,0.6476510067114094,2018
198,Czech Republic,PAKISTAN,ISLAMABAD,658.0,248.0,407.0,0.6213740458015267,2018
199,Czech Republic,PERU,LIMA,73.0,66.0,7.0,0.0958904109589041,2018
200,Czech Republic,PHILIPPINES,MANILA,2663.0,2330.0,333.0,0.12504693954187007,2018
201,Czech Republic,POLAND,WARSAW,7.0,7.0,0.0,0.0,2018
202,Czech Republic,ROMANIA,BUCHAREST,359.0,334.0,25.0,0.06963788300835655,2018
203,Czech Republic,RUSSIAN FEDERATION,MOSCOW,209750.0,207360.0,2386.0,0.011375663898238823,2018
204,Czech Republic,RUSSIAN FEDERATION,ST. PETERSBURG,10090.0,10063.0,27.0,0.0026759167492566896,2018
205,Czech Republic,RUSSIAN FEDERATION,YEKATERINBURG,24553.0,24474.0,78.0,0.003176930596285435,2018
206,Czech Republic,SAUDI ARABIA,RIYADH,13901.0,13248.0,586.0,0.04235940436605465,2018
207,Czech Republic,SENEGAL,DAKAR,145.0,66.0,77.0,0.5384615384615384,2018
208,Czech Republic,SERBIA,BELGRADE,2099.0,2087.0,11.0,0.005243088655862726,2018
209,Czech Republic,SLOVAKIA,BRATISLAVA,31.0,31.0,0.0,0.0,2018
210,Czech Republic,SOUTH AFRICA,PRETORIA,4102.0,4023.0,78.0,0.019019751280175568,2018
211,Czech Republic,SOUTH KOREA,SEOUL,131.0,127.0,3.0,0.023076923076923078,2018
212,Czech Republic,SPAIN,MADRID,11.0,11.0,0.0,0.0,2018
213,Czech Republic,SWEDEN,STOCKHOLM,1.0,1.0,0.0,0.0,2018
214,Czech Republic,SYRIA,DAMASCUS,119.0,105.0,2.0,0.018691588785046728,2018
215,Czech Republic,TAIWAN,TAIPEI,62.0,61.0,1.0,0.016129032258064516,2018
216,Czech Republic,THAILAND,BANGKOK,10679.0,10568.0,111.0,0.010394231669631987,2018
217,Czech Republic,TUNISIA,TUNIS,973.0,608.0,340.0,0.35864978902953587,2018
218,Czech Republic,TURKEY,ANKARA,11479.0,11030.0,444.0,0.038696182673871364,2018
219,Czech Republic,TURKEY,ISTANBUL,10313.0,9589.0,718.0,0.0696613951683322,2018
220,Czech Republic,UKRAINE,KYIV,53212.0,50409.0,2801.0,0.05264048111257282,2018
221,Czech Republic,UKRAINE,LVIV,66796.0,64622.0,2172.0,0.03251789082851753,2018
222,Czech Republic,UNITED ARAB EMIRATES,ABU DHABI,10028.0,7809.0,2165.0,0.21706436735512333,2018
223,Czech Republic,UNITED KINGDOM,LONDON,2356.0,2264.0,19.0,0.008322382829610162,2018
224,Czech Republic,USA,"CHICAGO, IL",371.0,371.0,0.0,0.0,2018
225,Czech Republic,USA,"LOS ANGELES, CA",503.0,496.0,4.0,0.008,2018
226,Czech Republic,USA,"NEW YORK, NY",780.0,771.0,0.0,0.0,2018
227,Czech Republic,USA,"WASHINGTON, DC",505.0,488.0,1.0,0.002044989775051125,2018
228,Czech Republic,UZBEKISTAN,TASHKENT,2958.0,2371.0,576.0,0.19545300305395316,2018
229,Czech Republic,VIETNAM,HANOI,1359.0,868.0,491.0,0.3612950699043414,2018
230,Czech Republic,ZAMBIA,LUSAKA,42.0,33.0,7.0,0.175,2018
231,Denmark,AFGHANISTAN,KABUL,69.0,50.0,2.0,0.038461538461538464,2018
232,Denmark,AUSTRALIA,SYDNEY,700.0,674.0,7.0,0.010279001468428781,2018
233,Denmark,AUSTRIA,VIENNA,12.0,10.0,0.0,0.0,2018
234,Denmark,BANGLADESH,DHAKA,1586.0,1324.0,224.0,0.14470284237726097,2018
235,Denmark,BELGIUM,BRUSSELS,11.0,9.0,0.0,0.0,2018
236,Denmark,BULGARIA,SOFIA,50.0,38.0,2.0,0.05,2018
237,Denmark,BURKINA FASO,OUAGADOUGOU,215.0,181.0,26.0,0.12560386473429952,2018
238,Denmark,CANADA,OTTAWA,2760.0,2602.0,57.0,0.021436630312147424,2018
239,Denmark,CHINA,BEIJING,13727.0,13150.0,368.0,0.02722296197662376,2018
240,Denmark,CHINA,GUANGZHOU (CANTON),15225.0,14937.0,210.0,0.013864131511190335,2018
241,Denmark,CHINA,SHANGHAI,17316.0,16487.0,428.0,0.025302985515814367,2018
242,Denmark,DENMARK,COPENHAGEN,750.0,720.0,7.0,0.009628610729023384,2018
243,Denmark,EGYPT,CAIRO,1790.0,1542.0,238.0,0.13370786516853933,2018
244,Denmark,ETHIOPIA,ADDIS ABEBA,378.0,297.0,70.0,0.1907356948228883,2018
245,Denmark,FINLAND,HELSINKI,18.0,15.0,0.0,0.0,2018
246,Denmark,FRANCE,PARIS,23.0,19.0,1.0,0.05,2018
247,Denmark,GERMANY,BERLIN,18.0,17.0,0.0,0.0,2018
248,Denmark,GERMANY,FLENSBURG,21.0,19.0,1.0,0.05,2018
249,Denmark,GHANA,ACCRA,2705.0,1185.0,1385.0,0.5389105058365758,2018
250,Denmark,GREECE,ATHENS,3.0,3.0,0.0,0.0,2018
251,Denmark,HUNGARY,BUDAPEST,4.0,2.0,0.0,0.0,2018
252,Denmark,ICELAND,REYKJAVIK,88.0,88.0,0.0,0.0,2018
253,Denmark,INDIA,NEW DELHI,23275.0,21890.0,949.0,0.041551731687026576,2018
254,Denmark,INDONESIA,JAKARTA,4408.0,4369.0,35.0,0.007947320617620345,2018
255,Denmark,IRAN,TEHERAN,2970.0,2012.0,851.0,0.29724065665385957,2018
256,Denmark,IRELAND,DUBLIN,848.0,820.0,1.0,0.001218026796589525,2018
257,Denmark,ISRAEL,TEL AVIV,308.0,280.0,31.0,0.09967845659163987,2018
258,Denmark,ITALY,ROME,12.0,7.0,3.0,0.3,2018
259,Denmark,JAPAN,TOKYO,321.0,321.0,2.0,0.006191950464396285,2018
260,Denmark,KENYA,NAIROBI,1660.0,1363.0,203.0,0.12962962962962962,2018
261,Denmark,LATVIA,RIGA,10.0,7.0,1.0,0.125,2018
262,Denmark,LEBANON,BEIRUT,1508.0,1009.0,485.0,0.3246318607764391,2018
263,Denmark,MALAYSIA,KUALA LUMPUR,440.0,354.0,76.0,0.17674418604651163,2018
264,Denmark,MALI,BAMAKO,483.0,300.0,150.0,0.3333333333333333,2018
265,Denmark,MEXICO,MEXICO CITY,46.0,45.0,0.0,0.0,2018
266,Denmark,MOROCCO,RABAT,1971.0,1621.0,296.0,0.15440792905581638,2018
267,Denmark,NETHERLANDS,THE HAGUE,26.0,26.0,0.0,0.0,2018
268,Denmark,NIGERIA,ABUJA,1550.0,663.0,807.0,0.5489795918367347,2018
269,Denmark,NORWAY,OSLO,19.0,18.0,0.0,0.0,2018
270,Denmark,PAKISTAN,ISLAMABAD,2786.0,1311.0,1349.0,0.5071428571428571,2018
271,Denmark,PHILIPPINES,MANILA,7078.0,6509.0,528.0,0.07503197385249397,2018
272,Denmark,POLAND,WARSAW,3.0,2.0,1.0,0.3333333333333333,2018
273,Denmark,PORTUGAL,LISBON,17.0,15.0,0.0,0.0,2018
274,Denmark,ROMANIA,BUCHAREST,30.0,25.0,4.0,0.13793103448275862,2018
275,Denmark,RUSSIAN FEDERATION,MOSCOW,9073.0,8898.0,106.0,0.011772545535317636,2018
276,Denmark,SAUDI ARABIA,RIYADH,1384.0,1157.0,140.0,0.1079414032382421,2018
277,Denmark,SERBIA,BELGRADE,23.0,21.0,3.0,0.125,2018
278,Denmark,SINGAPORE,SINGAPORE,3472.0,3416.0,16.0,0.004662004662004662,2018
279,Denmark,SOUTH AFRICA,PRETORIA,3579.0,3528.0,33.0,0.009267059814658803,2018
280,Denmark,SPAIN,MADRID,13.0,6.0,1.0,0.14285714285714285,2018
281,Denmark,SWEDEN,STOCKHOLM,27.0,22.0,3.0,0.12,2018
282,Denmark,TAIWAN,TAIPEI,44.0,42.0,0.0,0.0,2018
283,Denmark,THAILAND,BANGKOK,12831.0,12011.0,886.0,0.06869814685585796,2018
284,Denmark,TURKEY,ANKARA,3817.0,3096.0,613.0,0.16527365866810462,2018
