,schengen_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
0,Austria,ALBANIA,TIRANA,49.0,46.0,3.0,0.061224489795918366,2019
1,Austria,ALGERIA,ALGIERS,2398.0,1814.0,584.0,0.24353628023352794,2019
2,Austria,ARGENTINA,BUENOS AIRES,32.0,32.0,0.0,0.0,2019
3,Austria,AUSTRALIA,CANBERRA,3271.0,3213.0,56.0,0.017130620985010708,2019
4,Austria,AZERBAIJAN,BAKU,1840.0,1794.0,46.0,0.025,2019
5,Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,1116.0,1113.0,3.0,0.002688172043010753,2019
6,Austria,BRAZIL,BRASILIA,61.0,61.0,0.0,0.0,2019
7,Austria,BULGARIA,SOFIA,311.0,302.0,9.0,0.028938906752411574,2019
8,Austria,CANADA,OTTAWA,810.0,797.0,13.0,0.016049382716049384,2019
9,Austria,CHILE,SANTIAGO DE CHILE,16.0,16.0,0.0,0.0,2019
10,Austria,CHINA,BEIJING,46670.0,45599.0,1072.0,0.022969295708255663,2019
11,Austria,CHINA,SHANGHAI,51712.0,51219.0,493.0,0.009533570544554455,2019
12,Austria,COLOMBIA,BOGOTA,27.0,26.0,1.0,0.037037037037037035,2019
13,Austria,CROATIA,ZAGREB,221.0,213.0,8.0,0.03619909502262444,2019
14,Austria,CUBA,HAVANA,573.0,510.0,63.0,0.1099476439790576,2019
15,Austria,CYPRUS,NICOSIA,883.0,877.0,6.0,0.006795016987542469,2019
16,Austria,EGYPT,CAIRO,5562.0,4644.0,918.0,0.1650485436893204,2019
17,Austria,ETHIOPIA,ADDIS ABEBA,828.0,804.0,23.0,0.02781136638452237,2019
18,Austria,GERMANY,MUNICH,138.0,135.0,3.0,0.021739130434782608,2019
19,Austria,HONG KONG S.A.R.,HONG KONG,480.0,477.0,3.0,0.00625,2019
20,Austria,INDIA,NEW DELHI,36488.0,34287.0,2199.0,0.06026969248478869,2019
21,Austria,INDONESIA,JAKARTA,8147.0,8119.0,28.0,0.003436847919479563,2019
22,Austria,IRAN,TEHERAN,5230.0,4288.0,941.0,0.17995792694587875,2019
23,Austria,IRELAND,DUBLIN,519.0,514.0,5.0,0.009633911368015413,2019
24,Austria,ISRAEL,TEL AVIV,695.0,662.0,32.0,0.04610951008645533,2019
25,Austria,JAPAN,TOKYO,592.0,592.0,0.0,0.0,2019
26,Austria,JORDAN,AMMAN,3959.0,3283.0,674.0,0.17033105888299216,2019
27,Austria,KAZAKHSTAN,NUR-SULTAN,6315.0,6217.0,95.0,0.015050697084917616,2019
28,Austria,KENYA,NAIROBI,1326.0,1154.0,172.0,0.1297134238310709,2019
29,Austria,KUWAIT,KUWAIT,9888.0,9561.0,327.0,0.03307038834951456,2019
30,Austria,LEBANON,BEIRUT,2115.0,1983.0,132.0,0.062411347517730496,2019
31,Austria,MALAYSIA,KUALA LUMPUR,775.0,713.0,62.0,0.08,2019
32,Austria,MEXICO,MEXICO CITY,56.0,56.0,0.0,0.0,2019
33,Austria,MOROCCO,RABAT,1246.0,772.0,474.0,0.38041733547351525,2019
34,Austria,NIGERIA,ABUJA,2280.0,1221.0,1058.0,0.46423870118473015,2019
35,Austria,NORTH MACEDONIA,SKOPJE,1125.0,872.0,253.0,0.2248888888888889,2019
36,Austria,PAKISTAN,ISLAMABAD,937.0,576.0,360.0,0.38461538461538464,2019
37,Austria,PERU,LIMA,12.0,12.0,0.0,0.0,2019
38,Austria,PHILIPPINES,MANILA,4757.0,4433.0,324.0,0.0681101534580618,2019
39,Austria,ROMANIA,BUCHAREST,249.0,236.0,13.0,0.05220883534136546,2019
40,Austria,RUSSIAN FEDERATION,MOSCOW,41901.0,41355.0,542.0,0.012936487099314987,2019
41,Austria,SAUDI ARABIA,RIYADH,14005.0,13738.0,266.0,0.018994572979148815,2019
42,Austria,SENEGAL,DAKAR,831.0,470.0,361.0,0.43441636582430804,2019
43,Austria,SERBIA,BELGRADE,751.0,723.0,28.0,0.037283621837549935,2019
44,Austria,SLOVAKIA,BRATISLAVA,81.0,81.0,0.0,0.0,2019
45,Austria,SLOVENIA,LJUBLJANA,14.0,14.0,0.0,0.0,2019
46,Austria,SOUTH AFRICA,PRETORIA,6663.0,6544.0,119.0,0.01785982290259643,2019
47,Austria,SOUTH KOREA,SEOUL,180.0,161.0,19.0,0.10555555555555556,2019
48,Austria,SYRIA,DAMASCUS,392.0,315.0,77.0,0.19642857142857142,2019
49,Austria,TAIWAN,TAIPEI,157.0,155.0,2.0,0.012738853503184714,2019
50,Austria,THAILAND,BANGKOK,19876.0,19690.0,186.0,0.009358019722278125,2019
51,Austria,TUNISIA,TUNIS,1881.0,1538.0,341.0,0.18147951037786056,2019
52,Austria,TURKEY,ISTANBUL,18623.0,15068.0,3549.0,0.19063221786539183,2019
53,Austria,UKRAINE,KYIV,1447.0,1403.0,44.0,0.0304077401520387,2019
54,Austria,UNITED ARAB EMIRATES,ABU DHABI,4557.0,4060.0,497.0,0.10906298003072197,2019
55,Austria,UNITED KINGDOM,LONDON,3680.0,3581.0,98.0,0.02663767328078282,2019
56,Austria,USA,"LOS ANGELES, CA",799.0,787.0,12.0,0.015018773466833541,2019
57,Austria,USA,"NEW YORK, NY",779.0,742.0,35.0,0.04504504504504504,2019
58,Austria,USA,"WASHINGTON, DC",755.0,747.0,8.0,0.010596026490066225,2019
59,Austria,VIETNAM,HANOI,2181.0,2043.0,138.0,0.06327372764786796,2019
60,Belgium,ALGERIA,ALGIERS,7449.0,4268.0,2839.0,0.39946531588574646,2019
