,eu_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,year,visa_refusal_rate
0,Austria,ALBANIA,TIRANA,14.0,9.0,0.0,2020,0.0
1,Austria,ALGERIA,ALGIERS,457.0,358.0,99.0,2020,0.21663019693654267
2,Austria,ARGENTINA,BUENOS AIRES,4.0,4.0,0.0,2020,0.0
3,Austria,AUSTRALIA,CANBERRA,372.0,371.0,1.0,2020,0.002688172043010753
4,Austria,AZERBAIJAN,BAKU,343.0,323.0,14.0,2020,0.04154302670623145
5,Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,876.0,874.0,2.0,2020,0.00228310502283105
6,Austria,BRAZIL,BRASILIA,15.0,15.0,0.0,2020,0.0
7,Austria,BULGARIA,SOFIA,123.0,121.0,0.0,2020,0.0
8,Austria,CANADA,OTTAWA,128.0,128.0,0.0,2020,0.0
9,Austria,CHILE,SANTIAGO DE CHILE,1.0,1.0,0.0,2020,0.0
10,Austria,CHINA,BEIJING,2451.0,2321.0,130.0,2020,0.053039575683394534
11,Austria,CHINA,SHANGHAI,2638.0,2588.0,50.0,2020,0.018953752843062926
12,Austria,COLOMBIA,BOGOTA,1.0,1.0,0.0,2020,0.0
13,Austria,CROATIA,ZAGREB,102.0,87.0,6.0,2020,0.06451612903225806
14,Austria,CUBA,HAVANA,79.0,70.0,9.0,2020,0.11392405063291139
15,Austria,CYPRUS,NICOSIA,316.0,314.0,2.0,2020,0.006329113924050633
16,Austria,EGYPT,CAIRO,983.0,846.0,137.0,2020,0.13936927772126145
17,Austria,ETHIOPIA,ADDIS ABEBA,201.0,193.0,5.0,2020,0.025252525252525252
18,Austria,GERMANY,MUNICH,41.0,41.0,0.0,2020,0.0
19,Austria,HONG KONG S.A.R.,HONG KONG,56.0,56.0,0.0,2020,0.0
20,Austria,INDIA,NEW DELHI,4251.0,3611.0,640.0,2020,0.15055281110326982
21,Austria,INDONESIA,JAKARTA,1348.0,1335.0,13.0,2020,0.009643916913946587
22,Austria,IRAN,TEHERAN,540.0,509.0,8.0,2020,0.015473887814313346
23,Austria,IRELAND,DUBLIN,122.0,120.0,2.0,2020,0.01639344262295082
24,Austria,ISRAEL,TEL AVIV,129.0,110.0,12.0,2020,0.09836065573770492
25,Austria,JAPAN,TOKYO,74.0,74.0,0.0,2020,0.0
26,Austria,JORDAN,AMMAN,524.0,420.0,92.0,2020,0.1796875
27,Austria,KAZAKHSTAN,NUR-SULTAN,1202.0,1190.0,12.0,2020,0.009983361064891847
28,Austria,KENYA,NAIROBI,202.0,181.0,21.0,2020,0.10396039603960396
29,Austria,KUWAIT,KUWAIT,549.0,515.0,28.0,2020,0.05156537753222836
30,Austria,LEBANON,BEIRUT,171.0,134.0,37.0,2020,0.21637426900584794
31,Austria,MALAYSIA,KUALA LUMPUR,88.0,82.0,6.0,2020,0.06818181818181818
32,Austria,MEXICO,MEXICO CITY,17.0,17.0,0.0,2020,0.0
33,Austria,MOROCCO,RABAT,279.0,213.0,66.0,2020,0.23655913978494625
34,Austria,NIGERIA,ABUJA,266.0,162.0,82.0,2020,0.3360655737704918
35,Austria,NORTH MACEDONIA,SKOPJE,294.0,43.0,32.0,2020,0.4266666666666667
36,Austria,PAKISTAN,ISLAMABAD,77.0,53.0,19.0,2020,0.2638888888888889
37,Austria,PERU,LIMA,2.0,2.0,0.0,2020,0.0
38,Austria,PHILIPPINES,MANILA,671.0,639.0,32.0,2020,0.04769001490312966
39,Austria,ROMANIA,BUCHAREST,40.0,38.0,0.0,2020,0.0
40,Austria,RUSSIAN FEDERATION,MOSCOW,10529.0,10337.0,142.0,2020,0.013550911346502529
41,Austria,SAUDI ARABIA,RIYADH,1119.0,982.0,57.0,2020,0.0548604427333975
42,Austria,SENEGAL,DAKAR,125.0,78.0,47.0,2020,0.376
43,Austria,SERBIA,BELGRADE,268.0,264.0,4.0,2020,0.014925373134328358
44,Austria,SLOVAKIA,BRATISLAVA,14.0,12.0,0.0,2020,0.0
45,Austria,SLOVENIA,LJUBLJANA,7.0,7.0,0.0,2020,0.0
46,Austria,SOUTH AFRICA,PRETORIA,1103.0,1010.0,12.0,2020,0.011741682974559686
47,Austria,SOUTH KOREA,SEOUL,25.0,23.0,2.0,2020,0.08
48,Austria,SYRIA,DAMASCUS,32.0,30.0,1.0,2020,0.03225806451612903
49,Austria,TAIWAN,TAIPEI,31.0,31.0,0.0,2020,0.0
50,Austria,THAILAND,BANGKOK,3986.0,3941.0,45.0,2020,0.011289513296537882
51,Austria,TUNISIA,TUNIS,294.0,256.0,37.0,2020,0.12627986348122866
52,Austria,TURKEY,ISTANBUL,4421.0,3886.0,533.0,2020,0.12061552387417968
53,Austria,UKRAINE,KYIV,606.0,603.0,3.0,2020,0.0049504950495049506
54,Austria,UNITED ARAB EMIRATES,ABU DHABI,830.0,754.0,57.0,2020,0.07028360049321825
55,Austria,UNITED KINGDOM,LONDON,909.0,897.0,1.0,2020,0.0011135857461024498
56,Austria,USA,"LOS ANGELES, CA",147.0,146.0,1.0,2020,0.006802721088435374
57,Austria,USA,"NEW YORK, NY",177.0,173.0,4.0,2020,0.022598870056497175
58,Austria,USA,"WASHINGTON, DC",135.0,135.0,0.0,2020,0.0
59,Austria,VIETNAM,HANOI,209.0,200.0,9.0,2020,0.0430622009569378
60,Belgium,ALGERIA,ALGIERS,1592.0,591.0,708.0,2020,0.5450346420323325
61,Belgium,ANGOLA,LUANDA,276.0,99.0,140.0,2020,0.5857740585774058
62,Belgium,ARGENTINA,BUENOS AIRES,8.0,3.0,1.0,2020,0.25
63,Belgium,AUSTRALIA,CANBERRA,33.0,27.0,1.0,2020,0.03571428571428571
64,Belgium,AUSTRIA,VIENNA,2.0,0.0,0.0,2020,
65,Belgium,BELGIUM,BRUSSELS,6.0,2.0,0.0,2020,0.0
66,Belgium,BRAZIL,SAO PAULO,9.0,6.0,3.0,2020,0.3333333333333333
67,Belgium,BULGARIA,SOFIA,29.0,26.0,1.0,2020,0.037037037037037035
68,Belgium,BURKINA FASO,OUAGADOUGOU,428.0,212.0,87.0,2020,0.2909698996655518
69,Belgium,BURUNDI,BUJUMBURA,637.0,254.0,234.0,2020,0.47950819672131145
70,Belgium,CAMEROON,YAONDE,882.0,433.0,351.0,2020,0.4477040816326531
71,Belgium,CANADA,MONTREAL,162.0,111.0,36.0,2020,0.24489795918367346
72,Belgium,CHILE,SANTIAGO DE CHILE,11.0,5.0,2.0,2020,0.2857142857142857
73,Belgium,CHINA,BEIJING,1931.0,1794.0,23.0,2020,0.012658227848101266
74,Belgium,CHINA,GUANGZHOU (CANTON),259.0,299.0,13.0,2020,0.041666666666666664
75,Belgium,CHINA,SHANGHAI,490.0,445.0,6.0,2020,0.013303769401330377
76,Belgium,COLOMBIA,BOGOTA,34.0,31.0,0.0,2020,0.0
77,Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,5975.0,3591.0,2152.0,2020,0.37471704683963086
78,Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,329.0,238.0,59.0,2020,0.19865319865319866
79,Belgium,COTE D'IVOIRE,ABIDJAN,581.0,368.0,198.0,2020,0.3498233215547703
80,Belgium,CROATIA,ZAGREB,22.0,15.0,2.0,2020,0.11764705882352941
81,Belgium,CUBA,HAVANA,276.0,200.0,48.0,2020,0.1935483870967742
82,Belgium,CZECH REPUBLIC,PRAGUE,2.0,0.0,0.0,2020,
83,Belgium,EGYPT,CAIRO,613.0,331.0,208.0,2020,0.38589981447124305
84,Belgium,ETHIOPIA,ADDIS ABEBA,225.0,155.0,31.0,2020,0.16666666666666666
85,Belgium,FINLAND,HELSINKI,4.0,1.0,0.0,2020,0.0
86,Belgium,FRANCE,PARIS,3.0,0.0,0.0,2020,
87,Belgium,GERMANY,BERLIN,2.0,0.0,0.0,2020,
88,Belgium,GREECE,ATHENS,5.0,3.0,1.0,2020,0.25
89,Belgium,HONG KONG S.A.R.,HONG KONG,112.0,107.0,6.0,2020,0.05309734513274336
90,Belgium,HUNGARY,BUDAPEST,3.0,0.0,0.0,2020,
91,Belgium,INDIA,MUMBAI,3399.0,3129.0,184.0,2020,0.05553878659824932
92,Belgium,INDIA,NEW DELHI,1595.0,1295.0,225.0,2020,0.14802631578947367
93,Belgium,INDONESIA,JAKARTA,110.0,75.0,10.0,2020,0.11764705882352941
94,Belgium,IRAN,TEHERAN,579.0,331.0,242.0,2020,0.4223385689354276
95,Belgium,IRELAND,DUBLIN,351.0,331.0,4.0,2020,0.011940298507462687
96,Belgium,ISRAEL,JERUSALEM,125.0,65.0,31.0,2020,0.3229166666666667
97,Belgium,ISRAEL,TEL AVIV,17.0,15.0,1.0,2020,0.0625
98,Belgium,ITALY,ROME,2.0,0.0,0.0,2020,
99,Belgium,JAMAICA,KINGSTON,269.0,196.0,19.0,2020,0.08837209302325581
100,Belgium,JAPAN,TOKYO,78.0,64.0,7.0,2020,0.09859154929577464
101,Belgium,JORDAN,AMMAN,479.0,306.0,134.0,2020,0.30454545454545456
102,Belgium,KENYA,NAIROBI,268.0,191.0,62.0,2020,0.2450592885375494
103,Belgium,KUWAIT,KUWAIT,359.0,295.0,84.0,2020,0.22163588390501318
104,Belgium,LEBANON,BEIRUT,557.0,290.0,228.0,2020,0.44015444015444016
105,Belgium,MALAYSIA,KUALA LUMPUR,25.0,18.0,2.0,2020,0.1
106,Belgium,MEXICO,MEXICO CITY,8.0,5.0,0.0,2020,0.0
107,Belgium,MOROCCO,CASABLANCA,3745.0,1924.0,1737.0,2020,0.4744605299098607
108,Belgium,MOROCCO,RABAT,144.0,129.0,7.0,2020,0.051470588235294115
109,Belgium,NETHERLANDS,THE HAGUE,9.0,6.0,0.0,2020,0.0
110,Belgium,NIGERIA,ABUJA,1195.0,616.0,528.0,2020,0.46153846153846156
111,Belgium,PAKISTAN,ISLAMABAD,695.0,313.0,320.0,2020,0.5055292259083728
112,Belgium,PANAMA,PANAMA CITY,3.0,0.0,1.0,2020,1.0
113,Belgium,PERU,LIMA,48.0,29.0,4.0,2020,0.12121212121212122
114,Belgium,PHILIPPINES,MANILA,3739.0,3365.0,177.0,2020,0.04997176736307171
115,Belgium,POLAND,WARSAW,9.0,5.0,1.0,2020,0.16666666666666666
116,Belgium,PORTUGAL,LISBON,4.0,1.0,1.0,2020,0.5
117,Belgium,QATAR,DOHA,220.0,182.0,32.0,2020,0.14953271028037382
118,Belgium,ROMANIA,BUCHAREST,45.0,32.0,9.0,2020,0.21951219512195122
119,Belgium,RUSSIAN FEDERATION,MOSCOW,3653.0,3404.0,160.0,2020,0.04489337822671156
120,Belgium,RWANDA,KIGALI,2021.0,1526.0,394.0,2020,0.20520833333333333
121,Belgium,SAUDI ARABIA,RIYADH,367.0,284.0,28.0,2020,0.08974358974358974
122,Belgium,SENEGAL,DAKAR,945.0,364.0,469.0,2020,0.5630252100840336
123,Belgium,SERBIA,BELGRADE,12.0,7.0,0.0,2020,0.0
124,Belgium,SINGAPORE,SINGAPORE,122.0,119.0,1.0,2020,0.008333333333333333
125,Belgium,SOUTH AFRICA,CAPE TOWN,332.0,276.0,24.0,2020,0.08
126,Belgium,SOUTH AFRICA,JOHANNESBURG,612.0,519.0,28.0,2020,0.051188299817184646
127,Belgium,SOUTH AFRICA,PRETORIA,55.0,28.0,7.0,2020,0.2
128,Belgium,SOUTH KOREA,SEOUL,17.0,6.0,4.0,2020,0.4
129,Belgium,SPAIN,MADRID,6.0,1.0,0.0,2020,0.0
130,Belgium,SWITZERLAND,BERN,2.0,0.0,0.0,2020,
131,Belgium,TAIWAN,TAIPEI,10.0,8.0,0.0,2020,0.0
132,Belgium,TANZANIA,DAR ES SALAAM,184.0,151.0,11.0,2020,0.06790123456790123
133,Belgium,THAILAND,BANGKOK,1513.0,1257.0,183.0,2020,0.12708333333333333
134,Belgium,TUNISIA,TUNIS,856.0,530.0,220.0,2020,0.29333333333333333
135,Belgium,TURKEY,ISTANBUL,2361.0,1493.0,744.0,2020,0.332588287885561
136,Belgium,UGANDA,KAMPALA,268.0,211.0,41.0,2020,0.1626984126984127
137,Belgium,UKRAINE,KYIV,112.0,79.0,29.0,2020,0.26851851851851855
138,Belgium,UNITED ARAB EMIRATES,ABU DHABI,702.0,530.0,114.0,2020,0.17701863354037267
139,Belgium,UNITED KINGDOM,LONDON,1984.0,1690.0,195.0,2020,0.10344827586206896
140,Belgium,USA,"ATLANTA, GA",100.0,87.0,0.0,2020,0.0
141,Belgium,USA,"LOS ANGELES, CA",131.0,107.0,4.0,2020,0.036036036036036036
142,Belgium,USA,"NEW YORK, NY",247.0,222.0,14.0,2020,0.059322033898305086
143,Belgium,USA,"WASHINGTON, DC",133.0,109.0,10.0,2020,0.08403361344537816
144,Belgium,VIETNAM,HANOI,295.0,247.0,31.0,2020,0.11151079136690648
145,Czech Republic,AFGHANISTAN,KABUL,31.0,21.0,0.0,2020,0.0
146,Czech Republic,ALBANIA,TIRANA,2.0,2.0,0.0,2020,0.0
147,Czech Republic,ALGERIA,ALGIERS,152.0,63.0,89.0,2020,0.5855263157894737
148,Czech Republic,ARMENIA,YEREVAN,319.0,276.0,43.0,2020,0.13479623824451412
149,Czech Republic,AUSTRALIA,SYDNEY,47.0,47.0,0.0,2020,0.0
150,Czech Republic,AUSTRIA,VIENNA,1.0,1.0,0.0,2020,0.0
151,Czech Republic,AZERBAIJAN,BAKU,774.0,698.0,75.0,2020,0.09702457956015524
152,Czech Republic,BELARUS,MINSK,3335.0,3330.0,4.0,2020,0.0011997600479904018
153,Czech Republic,BOSNIA AND HERZEGOVINA,SARAJEVO,14.0,14.0,0.0,2020,0.0
154,Czech Republic,BRAZIL,BRASILIA,1.0,0.0,1.0,2020,1.0
155,Czech Republic,BRAZIL,SAO PAULO,8.0,4.0,4.0,2020,0.5
156,Czech Republic,BULGARIA,SOFIA,47.0,46.0,1.0,2020,0.02127659574468085
157,Czech Republic,CANADA,OTTAWA,12.0,10.0,2.0,2020,0.16666666666666666
158,Czech Republic,CANADA,TORONTO,80.0,74.0,6.0,2020,0.075
159,Czech Republic,CHILE,SANTIAGO DE CHILE,6.0,5.0,1.0,2020,0.16666666666666666
160,Czech Republic,CHINA,BEIJING,3691.0,3590.0,101.0,2020,0.027363858033053374
161,Czech Republic,CHINA,CHENGDU,947.0,929.0,18.0,2020,0.01900739176346357
162,Czech Republic,CHINA,SHANGHAI,1342.0,1305.0,37.0,2020,0.027570789865871834
163,Czech Republic,COLOMBIA,BOGOTA,1.0,1.0,0.0,2020,0.0
164,Czech Republic,CROATIA,ZAGREB,10.0,6.0,3.0,2020,0.3333333333333333
165,Czech Republic,CUBA,HAVANA,298.0,217.0,81.0,2020,0.27181208053691275
166,Czech Republic,EGYPT,CAIRO,386.0,300.0,85.0,2020,0.22077922077922077
167,Czech Republic,ETHIOPIA,ADDIS ABEBA,53.0,31.0,21.0,2020,0.40384615384615385
168,Czech Republic,GEORGIA,TBILISSI,105.0,46.0,59.0,2020,0.5619047619047619
169,Czech Republic,GERMANY,BERLIN,3.0,3.0,0.0,2020,0.0
170,Czech Republic,GHANA,ACCRA,94.0,60.0,34.0,2020,0.3617021276595745
171,Czech Republic,HONG KONG S.A.R.,HONG KONG,21.0,21.0,0.0,2020,0.0
172,Czech Republic,INDIA,NEW DELHI,3879.0,2683.0,1196.0,2020,0.3083268883732921
173,Czech Republic,INDONESIA,JAKARTA,298.0,291.0,7.0,2020,0.02348993288590604
174,Czech Republic,IRAN,TEHERAN,251.0,153.0,98.0,2020,0.3904382470119522
175,Czech Republic,IRAQ,BAGHDAD,63.0,59.0,1.0,2020,0.016666666666666666
176,Czech Republic,IRAQ,ERBIL,121.0,55.0,66.0,2020,0.5454545454545454
177,Czech Republic,IRELAND,DUBLIN,47.0,47.0,0.0,2020,0.0
178,Czech Republic,ISRAEL,TEL AVIV,94.0,82.0,12.0,2020,0.1276595744680851
179,Czech Republic,JAPAN,TOKYO,48.0,48.0,0.0,2020,0.0
180,Czech Republic,JORDAN,AMMAN,381.0,212.0,169.0,2020,0.4435695538057743
181,Czech Republic,KAZAKHSTAN,NUR-SULTAN,2787.0,2470.0,317.0,2020,0.11374237531395766
182,Czech Republic,KENYA,NAIROBI,172.0,147.0,25.0,2020,0.14534883720930233
183,Czech Republic,KUWAIT,KUWAIT,424.0,324.0,100.0,2020,0.2358490566037736
184,Czech Republic,LEBANON,BEIRUT,220.0,173.0,47.0,2020,0.21363636363636362
185,Czech Republic,MALAYSIA,KUALA LUMPUR,61.0,33.0,28.0,2020,0.45901639344262296
186,Czech Republic,MEXICO,MEXICO CITY,5.0,5.0,0.0,2020,0.0
187,Czech Republic,MOLDOVA,CHISINAU,633.0,626.0,7.0,2020,0.011058451816745656
188,Czech Republic,MONGOLIA,ULAN BATOR,462.0,397.0,65.0,2020,0.1406926406926407
189,Czech Republic,MOROCCO,RABAT,120.0,96.0,24.0,2020,0.2
190,Czech Republic,NIGERIA,ABUJA,157.0,114.0,40.0,2020,0.2597402597402597
191,Czech Republic,NORTH MACEDONIA,SKOPJE,181.0,2.0,40.0,2020,0.9523809523809523
192,Czech Republic,PAKISTAN,ISLAMABAD,115.0,36.0,77.0,2020,0.6814159292035398
193,Czech Republic,PERU,LIMA,19.0,19.0,0.0,2020,0.0
194,Czech Republic,PHILIPPINES,MANILA,453.0,433.0,20.0,2020,0.04415011037527594
195,Czech Republic,POLAND,WARSAW,1.0,0.0,0.0,2020,
196,Czech Republic,ROMANIA,BUCHAREST,5.0,4.0,1.0,2020,0.2
197,Czech Republic,RUSSIAN FEDERATION,MOSCOW,40154.0,39410.0,744.0,2020,0.018528664641131645
198,Czech Republic,RUSSIAN FEDERATION,ST. PETERSBURG,2287.0,2283.0,3.0,2020,0.0013123359580052493
199,Czech Republic,RUSSIAN FEDERATION,YEKATERINBURG,4636.0,4589.0,47.0,2020,0.010138050043140638
200,Czech Republic,SAUDI ARABIA,RIYADH,1146.0,1026.0,116.0,2020,0.10157618213660245
201,Czech Republic,SENEGAL,DAKAR,26.0,11.0,15.0,2020,0.5769230769230769
202,Czech Republic,SERBIA,BELGRADE,359.0,354.0,5.0,2020,0.013927576601671309
203,Czech Republic,SLOVAKIA,BRATISLAVA,3.0,1.0,1.0,2020,0.5
204,Czech Republic,SOUTH AFRICA,PRETORIA,423.0,405.0,18.0,2020,0.0425531914893617
205,Czech Republic,SOUTH KOREA,SEOUL,209.0,205.0,4.0,2020,0.019138755980861243
206,Czech Republic,SYRIA,DAMASCUS,57.0,14.0,0.0,2020,0.0
207,Czech Republic,TAIWAN,TAIPEI,5.0,5.0,0.0,2020,0.0
208,Czech Republic,THAILAND,BANGKOK,1360.0,1335.0,25.0,2020,0.01838235294117647
209,Czech Republic,TUNISIA,TUNIS,401.0,174.0,227.0,2020,0.5660847880299252
210,Czech Republic,TURKEY,ANKARA,2981.0,2704.0,276.0,2020,0.09261744966442953
211,Czech Republic,TURKEY,ISTANBUL,1893.0,1829.0,64.0,2020,0.03380876914949815
212,Czech Republic,UKRAINE,KYIV,47754.0,44993.0,2761.0,2020,0.057817146207647524
213,Czech Republic,UKRAINE,LVIV,47624.0,45953.0,1669.0,2020,0.03504682709672
214,Czech Republic,UNITED ARAB EMIRATES,ABU DHABI,1457.0,978.0,474.0,2020,0.32644628099173556
215,Czech Republic,UNITED KINGDOM,LONDON,642.0,609.0,14.0,2020,0.02247191011235955
216,Czech Republic,USA,"CHICAGO, IL",36.0,36.0,0.0,2020,0.0
217,Czech Republic,USA,"LOS ANGELES, CA",85.0,80.0,2.0,2020,0.024390243902439025
218,Czech Republic,USA,"NEW YORK, NY",105.0,102.0,0.0,2020,0.0
219,Czech Republic,USA,"WASHINGTON, DC",52.0,48.0,0.0,2020,0.0
220,Czech Republic,UZBEKISTAN,TASHKENT,435.0,284.0,147.0,2020,0.34106728538283065
221,Czech Republic,VIETNAM,HANOI,270.0,190.0,80.0,2020,0.2962962962962963
222,Czech Republic,ZAMBIA,LUSAKA,20.0,18.0,2.0,2020,0.1
223,Denmark,AUSTRIA,VIENNA,25.0,21.0,0.0,2020,0.0
224,Denmark,BANGLADESH,DHAKA,256.0,199.0,50.0,2020,0.20080321285140562
225,Denmark,BELGIUM,BRUSSELS,2.0,1.0,1.0,2020,0.5
226,Denmark,BURKINA FASO,OUAGADOUGOU,45.0,29.0,4.0,2020,0.12121212121212122
227,Denmark,CANADA,OTTAWA,400.0,395.0,7.0,2020,0.017412935323383085
228,Denmark,CHINA,BEIJING,550.0,488.0,30.0,2020,0.05791505791505792
229,Denmark,CHINA,GUANGZHOU (CANTON),1220.0,1401.0,64.0,2020,0.04368600682593857
230,Denmark,CHINA,SHANGHAI,1337.0,1553.0,38.0,2020,0.023884349465744813
231,Denmark,DENMARK,COPENHAGEN,478.0,419.0,4.0,2020,0.009456264775413711
232,Denmark,EGYPT,CAIRO,429.0,325.0,105.0,2020,0.2441860465116279
233,Denmark,FINLAND,HELSINKI,6.0,3.0,0.0,2020,0.0
234,Denmark,FRANCE,PARIS,13.0,7.0,0.0,2020,0.0
235,Denmark,GERMANY,BERLIN,16.0,12.0,0.0,2020,0.0
236,Denmark,GERMANY,FLENSBURG,18.0,17.0,1.0,2020,0.05555555555555555
237,Denmark,GHANA,ACCRA,512.0,258.0,203.0,2020,0.4403470715835141
238,Denmark,GREECE,ATHENS,1.0,1.0,0.0,2020,0.0
239,Denmark,ICELAND,REYKJAVIK,8.0,4.0,0.0,2020,0.0
240,Denmark,INDIA,NEW DELHI,3156.0,2620.0,231.0,2020,0.08102420203437391
241,Denmark,INDONESIA,JAKARTA,3695.0,3569.0,20.0,2020,0.005572582892170521
242,Denmark,IRAN,TEHERAN,425.0,273.0,148.0,2020,0.3515439429928741
243,Denmark,ISRAEL,TEL AVIV,27.0,18.0,5.0,2020,0.21739130434782608
244,Denmark,ITALY,ROME,7.0,7.0,0.0,2020,0.0
245,Denmark,JAPAN,TOKYO,62.0,58.0,2.0,2020,0.03333333333333333
246,Denmark,KENYA,NAIROBI,654.0,428.0,202.0,2020,0.32063492063492066
247,Denmark,LATVIA,RIGA,10.0,9.0,1.0,2020,0.1
248,Denmark,LEBANON,BEIRUT,368.0,196.0,142.0,2020,0.42011834319526625
249,Denmark,MALI,BAMAKO,113.0,45.0,40.0,2020,0.47058823529411764
250,Denmark,MEXICO,MEXICO CITY,28.0,25.0,0.0,2020,0.0
251,Denmark,MOROCCO,RABAT,587.0,446.0,136.0,2020,0.23367697594501718
252,Denmark,NETHERLANDS,THE HAGUE,3.0,3.0,0.0,2020,0.0
253,Denmark,NIGERIA,ABUJA,354.0,162.0,174.0,2020,0.5178571428571429
