,origin_country,origin_consulate,country,city,latitude,longitude
0,AFGHANISTAN,KABUL,AFGHANISTAN,KABUL,34.5260109,69.1776838
1,AFGHANISTAN,KABUl,AFGHANISTAN,KABUl,34.5260109,69.1776838
2,ALBANIA,GHIROKASTER,ALBANIA,GJIROKASTER,40.07106165,20.11224946150948
3,ALBANIA,GJIROKASTER,ALBANIA,GJIROKASTER,40.0770871,20.1393359
4,ALBANIA,KORCE,ALBANIA,KORCE,40.61788765,20.778459264467827
5,ALBANIA,SHKODER,ALBANIA,SHKODER,42.0681371,19.5121437
6,ALBANIA,TIRANA,ALBANIA,TIRANA,41.3279485,19.8185512
7,ALBANIA,VLORE,ALBANIA,VLORE,40.45107385,19.49510730541237
8,ALGERIA,ALGIERS,ALGERIA,ALGIERS,36.7753606,3.0601882
9,ALGERIA,ANNABA,ALGERIA,ANNABA,36.8982165,7.7549272
10,ALGERIA,ORAN,ALGERIA,ORAN,35.7032751,-0.6492976
11,ANDORRA,ANDORRA LA VELLA,ANDORRA,ANDORRA LA VELLA,42.5069391,1.5212467
12,ANGOLA,BENGUELA,ANGOLA,BENGUELA,-12.9104657,14.0356608
13,ANGOLA,LUANDA,ANGOLA,LUANDA,-8.8272699,13.2439512
14,ARGENTINA,BAHIA BLANCA,ARGENTINA,BAHIA BLANCA,-38.7176522,-62.2654871
15,ARGENTINA,BUENOS AIRES,ARGENTINA,BUENOS AIRES,-34.6075682,-58.4370894
16,ARGENTINA,CORDOBA,ARGENTINA,CORDOBA,-31.4173391,-64.183319
17,ARGENTINA,MENDOZA,ARGENTINA,MENDOZA,-34.78709305,-68.43818677312292
18,ARGENTINA,ROSARIO (Santa Fé),ARGENTINA,ROSARIO (Santa Fé),-32.9595004,-60.6615415
19,ARMENIA,YEREVAN,ARMENIA,YEREVAN,40.1776245,44.5126174
20,AUSTRALIA,ADELAIDE,AUSTRALIA,ADELAIDE,-34.9281805,138.5999312
21,AUSTRALIA,BRISBANE,AUSTRALIA,BRISBANE,-27.4689682,153.0234991
22,AUSTRALIA,CANBERRA,AUSTRALIA,CANBERRA,-35.2975906,149.1012676
23,AUSTRALIA,MELBOURNE,AUSTRALIA,MELBOURNE,-37.8142176,144.9631608
24,AUSTRALIA,PERTH,AUSTRALIA,PERTH,-31.9527121,115.8604796
25,AUSTRALIA,SYDNEY,AUSTRALIA,SYDNEY,-33.8548157,151.2164539
26,AUSTRIA,VIENNA,AUSTRIA,VIENNA,48.2083537,16.3725042
27,AZERBAIJAN,BAKU,AZERBAIJAN,BAKU,40.16399915,50.27770925520258
28,Afghanistan,Kabul,Afghanistan,Kabul,34.5260109,69.1776838
29,Albania,Gjirokaster,Albania,Gjirokaster,40.0770871,20.1393359
30,Albania,Korutsa,Albania,Korutsa,,
31,Albania,Scutari,Albania,Scutari,42.0681371,19.5121437
32,Albania,Tirana,Albania,Tirana,41.3281482,19.8184435
33,Albania,Valona,Albania,Valona,40.4707602,19.4912716
34,Algeria,Algiers,Algeria,Algiers,36.7753606,3.0601882
35,Algeria,Annaba,Algeria,Annaba,36.8982165,7.7549272
36,Algeria,Oran,Algeria,Oran,35.7044415,-0.6502981
37,Andorra,Andorra-La-Vella,Andorra,Andorra-La-Vella,42.5069391,1.5212467
38,Angola,Benguela,Angola,Benguela,-12.5790048,13.4037117
39,Angola,Luanda,Angola,Luanda,-8.8272699,13.2439512
40,Argentina,Bahia Blanca,Argentina,Bahia Blanca,-38.7176522,-62.2654871
41,Argentina,Buenos Aires,Argentina,Buenos Aires,-34.6037157,-58.381642
42,Argentina,Cordoba,Argentina,Cordoba,-31.4166867,-64.1834193
43,Argentina,La Plata,Argentina,La Plata,-34.9206797,-57.9537638
44,Argentina,Mar del Plata,Argentina,Mar del Plata,-37.9977225,-57.5482703
45,Argentina,Mendoza,Argentina,Mendoza,-32.8894155,-68.8446177
46,Argentina,Rosario - Santa Fe,Argentina,Rosario - Santa Fe,-32.2505876,-60.99355909383007
47,Armenia,Yerevan,Armenia,Yerevan,40.1777112,44.5126233
48,Australia,Adelaide,Australia,Adelaide,-34.9281805,138.5999312
49,Australia,Brisbane,Australia,Brisbane,-27.4689682,153.0234991
50,Australia,Canberra,Australia,Canberra,-35.2975906,149.1012676
51,Australia,Melbourne,Australia,Melbourne,-37.8142454,144.9631732
52,Australia,Perth,Australia,Perth,-31.9558933,115.8605855
53,Australia,Sydney,Australia,Sydney,-33.8698439,151.2082848
54,Austria,Klagenfurt,Austria,Klagenfurt,46.623943,14.3075976
55,Austria,Vienna,Austria,Vienna,48.2083537,16.3725042
56,Azerbaijan,Baku,Azerbaijan,Baku,40.3755885,49.8328009
57,BAHRAIN,MANAMA,BAHRAIN,MANAMA,26.2235041,50.5822436
58,BANGLADESH,DHAKA,BANGLADESH,DHAKA,23.7861979,90.4026151
59,BELARUS,BREST,BELARUS,BREST,52.093751,23.6851851
60,BELARUS,GRODNO,BELARUS,GRODNO,53.6834599,23.8342648
61,BELARUS,MINSK,BELARUS,MINSK,53.9024716,27.5618225
62,BELARUS,VITSYEBSK,BELARUS,VITEBSK,55.1930197,30.2070437
63,BELGIUM,BRUSSELS,BELGIUM,BRUSSELS,50.8465573,4.351697
64,BENIN,COTONOU,BENIN,COTONOU,6.3676953,2.4252507
65,BHUTAN,THIMPHU,BHUTAN,THIMPHU,27.4713546,89.6336729
66,BOLIVIA,LA PAZ,BOLIVIA,LA PAZ,-16.4955455,-68.1336229
67,BOLIVIA,SANTA CRUZ DE LA SIERRA,BOLIVIA,SANTA CRUZ DE LA SIERRA,-17.7834936,-63.1820853
68,BOSNIA AND HERZEGOVINA,BANJA LUKA,BOSNIA AND HERZEGOVINA,BANJA LUKA,44.7720845,17.1917651
69,BOSNIA AND HERZEGOVINA,SARAJEVO,BOSNIA AND HERZEGOVINA,SARAJEVO,43.8519774,18.3866868
70,BOTSWANA,GABORONE,BOTSWANA,GABORONE,-24.6581357,25.9088474
71,BRAZIL,"BELEM, PA",BRAZIL,BELEM,-1.45056,-48.4682453
72,BRAZIL,BELO HORIZONTE,BRAZIL,BELO HORIZONTE,-19.9227318,-43.9450948
73,BRAZIL,BRASILIA,BRAZIL,BRASILIA,-10.3333333,-53.2
74,BRAZIL,CURITIBA,BRAZIL,CURITIBA,-25.4295963,-49.2712724
75,BRAZIL,PORTO ALEGRE,BRAZIL,PORTO ALEGRE,-30.0324999,-51.2303767
76,BRAZIL,RECIFE,BRAZIL,RECIFE,-8.0584933,-34.8848193
77,BRAZIL,RIO DE JANEIRO,BRAZIL,RIO DE JANEIRO,-22.9110137,-43.2093727
78,BRAZIL,SALVADOR DE BAHIA,BRAZIL,SALVADOR DE BAHIA,-12.9822499,-38.4812772
79,BRAZIL,SAO PAULO,BRAZIL,SAO PAULO,-23.5506507,-46.6333824
80,BRUNEI,BANDAR SERI BEGWAN,BRUNEI,BANDAR SERI BEGAWAN,4.8895453,114.9417574
81,BULGARIA,PLOVDIV,BULGARIA,PLOVDIV,42.1418541,24.7499297
82,BULGARIA,SOFIA,BULGARIA,SOFIA,42.6978634,23.3221789
83,BURKINA FASO,OUAGADOUGOU,BURKINA FASO,OUAGADOUGOU,12.3681873,-1.5270944
84,BURUNDI,BUJUMBURA,BURUNDI,BUJUMBURA,-3.3638125,29.3675028
85,Bahrain,Manama,Bahrain,Manama,26.2235041,50.5822436
86,Bangladesh,Dhaka,Bangladesh,Dhaka,23.7644025,90.389015
87,Belarus,Brest,Belarus,Brest,52.093751,23.6851851
88,Belarus,Grodno,Belarus,Grodno,53.6834599,23.8342648
89,Belarus,Minsk,Belarus,Minsk,53.9024716,27.5618225
90,Belarus,Vitsyebsk,Belarus,Vitsyebsk,,
91,Belgium,Antwerpen,Belgium,Antwerpen,51.2211097,4.3997081
92,Belgium,Brussels,Belgium,Brussels,50.8465573,4.351697
93,Benin,Cotonou,Benin,Cotonou,6.3676953,2.4252507
94,Bhutan,Thimphu,Bhutan,Thimphu,27.4713546,89.6336729
95,Bolivia,La Paz,Bolivia,La Paz,-16.4955455,-68.1336229
96,Bolivia,Santa Cruz de la Sierra,Bolivia,Santa Cruz de la Sierra,-17.7834936,-63.1820853
97,Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina,Sarajevo,43.8519774,18.3866868
98,Botswana,Gaborone,Botswana,Gaborone,-24.6581357,25.9088474
99,Brazil,Belo Horizonte,Brazil,Belo Horizonte,-19.9227318,-43.9450948
100,Brazil,Belém,Brazil,Belém,-1.45056,-48.4682453
101,Brazil,Brasilia,Brazil,Brasilia,-15.7934036,-47.8823172
102,Brazil,Curitiba,Brazil,Curitiba,-25.4295963,-49.2712724
103,Brazil,Porto Alegre,Brazil,Porto Alegre,-30.0324999,-51.2303767
104,Brazil,Recife,Brazil,Recife,-8.0584933,-34.8848193
105,Brazil,Rio de Janeiro,Brazil,Rio de Janeiro,-22.9110137,-43.2093727
106,Brazil,Salvador-Bahia,Brazil,Salvador-Bahia,-12.9822499,-38.4812772
107,Brazil,Santos,Brazil,Santos,-23.9335988,-46.3286399
108,Brazil,Sao Paulo,Brazil,Sao Paulo,-23.5506507,-46.6333824
