,origin_country,origin_consulate,country,city,latitude,longitude
0,ALBANIA,TIRANA,ALBANIA,TIRANA,41.3281482,19.8184435
1,ALGERIA,ALGIERS,ALGERIA,ALGIERS,36.7753606,3.0601882
2,ARGENTINA,BUENOS AIRES,ARGENTINA,BUENOS AIRES,-34.6075682,-58.4370894
3,AUSTRALIA,CANBERRA,AUSTRALIA,CANBERRA,-35.2975906,149.1012676
4,AZERBAIJAN,BAKU,AZERBAIJAN,BAKU,40.3754434,49.8326748
5,BOSNIA AND HERZEGOVINA,SARAJEVO,BOSNIA AND HERZEGOVINA,SARAJEVO,43.8519774,18.3866868
6,BRAZIL,BRASILIA,BRAZIL,BRASILIA,-10.3333333,-53.2
7,BULGARIA,SOFIA,BULGARIA,SOFIA,42.6978634,23.3221789
8,CANADA,OTTAWA,CANADA,OTTAWA,45.3969506,-75.6851593
9,CHILE,SANTIAGO DE CHILE,CHILE,SANTIAGO DE CHILE,-33.4377756,-70.6504502
10,CHINA,BEIJING,CHINA,BEIJING,39.906217,116.3912757
11,CHINA,SHANGHAI,CHINA,SHANGHAI,31.2322758,121.4692071
12,COLOMBIA,BOGOTA,COLOMBIA,BOGOTA,4.6533326,-74.083652
13,CROATIA,ZAGREB,CROATIA,ZAGREB,45.84262775,15.962195600884522
14,CUBA,HAVANA,CUBA,HAVANA,23.135305,-82.3589631
15,CYPRUS,NICOSIA,CYPRUS,NICOSIA,35.1748976,33.3638568
16,EGYPT,CAIRO,EGYPT,CAIRO,30.0443879,31.2357257
17,ETHIOPIA,ADDIS ABEBA,ETHIOPIA,ADDIS ABEBA,9.0107934,38.7612525
18,GERMANY,MUNICH,GERMANY,MUNICH,48.1371079,11.5753822
19,HONG KONG S.A.R.,HONG KONG,HONG KONG,HONG KONG,22.2793278,114.1628131
20,INDIA,NEW DELHI,INDIA,NEW DELHI,28.6138954,77.2090057
21,INDONESIA,JAKARTA,INDONESIA,JAKARTA,-6.1753942,106.827183
22,IRAN,TEHERAN,IRAN,TEHERAN,35.6892523,51.3896004
23,IRELAND,DUBLIN,IRELAND,DUBLIN,53.3497645,-6.2602732
24,ISRAEL,TEL AVIV,ISRAEL,TEL AVIV,32.0852997,34.7818064
25,JAPAN,TOKYO,JAPAN,TOKYO,35.6828387,139.7594549
26,JORDAN,AMMAN,JORDAN,AMMAN,31.9515694,35.9239625
27,KAZAKHSTAN,NUR-SULTAN,KAZAKHSTAN,NUR-SULTAN,51.1282205,71.4306682
28,KENYA,NAIROBI,KENYA,NAIROBI,-1.2832533,36.8172449
29,KUWAIT,KUWAIT,KUWAIT,KUWAIT,29.2733964,47.4979476
30,LEBANON,BEIRUT,LEBANON,BEIRUT,33.8959203,35.47843
31,MALAYSIA,KUALA LUMPUR,MALAYSIA,KUALA LUMPUR,3.1516964,101.6942371
32,MEXICO,MEXICO CITY,MEXICO,MEXICO CITY,19.4326296,-99.1331785
33,MOROCCO,RABAT,MOROCCO,RABAT,34.022405,-6.834543
34,NIGERIA,ABUJA,NIGERIA,ABUJA,9.0643305,7.4892974
35,NORTH MACEDONIA,SKOPJE,NORTH MACEDONIA,SKOPJE,41.9960924,21.4316495
36,OMAN,MUSCAT,OMAN,MUSCAT,23.61515,58.5912467
37,PAKISTAN,ISLAMABAD,PAKISTAN,ISLAMABAD,33.6938118,73.0651511
38,PERU,LIMA,PERU,LIMA,-12.0621065,-77.0365256
39,PHILIPPINES,MANILA,PHILIPPINES,MANILA,14.5948914,120.9782618
40,ROMANIA,BUCHAREST,ROMANIA,BUCHAREST,44.4361414,26.1027202
41,RUSSIAN FEDERATION,MOSCOW,RUSSIAN FEDERATION,MOSCOW,55.7504461,37.6174943
42,SAUDI ARABIA,RIYADH,SAUDI ARABIA,RIYADH,24.638916,46.7160104
43,SENEGAL,DAKAR,SENEGAL,DAKAR,14.693425,-17.447938
44,SERBIA,BELGRADE,SERBIA,BELGRADE,44.8178131,20.4568974
