,schengen_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
0,Austria,ALBANIA,TIRANA,9.0,9.0,0.0,0.0,2016
1,Austria,ALGERIA,ALGIERS,1961.0,1478.0,472.0,0.24205128205128204,2016
2,Austria,ARGENTINA,BUENOS AIRES,9.0,9.0,0.0,0.0,2016
3,Austria,AUSTRALIA,CANBERRA,1942.0,1927.0,11.0,0.005675954592363261,2016
4,Austria,AZERBAIJAN,BAKU,1913.0,1879.0,34.0,0.017773131207527444,2016
5,Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,89.0,82.0,2.0,0.023809523809523808,2016
6,Austria,BRAZIL,BRASILIA,24.0,23.0,0.0,0.0,2016
7,Austria,BULGARIA,SOFIA,236.0,225.0,9.0,0.038461538461538464,2016
8,Austria,CANADA,OTTAWA,674.0,663.0,7.0,0.010447761194029851,2016
9,Austria,CHILE,SANTIAGO DE CHILE,12.0,12.0,0.0,0.0,2016
10,Austria,CHINA,BEIJING,21348.0,20799.0,549.0,0.025716694772344013,2016
11,Austria,CHINA,SHANGHAI,24852.0,24783.0,69.0,0.0027764365041042975,2016
12,Austria,CROATIA,ZAGREB,224.0,208.0,0.0,0.0,2016
13,Austria,CUBA,HAVANA,410.0,398.0,12.0,0.02926829268292683,2016
14,Austria,CYPRUS,NICOSIA,436.0,425.0,8.0,0.018475750577367205,2016
15,Austria,EGYPT,CAIRO,5368.0,4400.0,917.0,0.1724656761331578,2016
16,Austria,ETHIOPIA,ADDIS ABEBA,987.0,935.0,21.0,0.021966527196652718,2016
17,Austria,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,SKOPJE,1012.0,9.0,3.0,0.25,2016
18,Austria,GERMANY,MUNICH,153.0,147.0,0.0,0.0,2016
19,Austria,HONG KONG S.A.R.,HONG KONG,422.0,420.0,1.0,0.0023752969121140144,2016
20,Austria,INDIA,NEW DELHI,26844.0,25443.0,1379.0,0.05141301916337335,2016
21,Austria,INDONESIA,JAKARTA,3980.0,3972.0,8.0,0.0020100502512562816,2016
22,Austria,IRAN,TEHERAN,9530.0,9151.0,135.0,0.014538014214947232,2016
23,Austria,IRELAND,DUBLIN,555.0,554.0,0.0,0.0,2016
24,Austria,ISRAEL,TEL AVIV,528.0,512.0,13.0,0.024761904761904763,2016
25,Austria,JAPAN,TOKYO,530.0,529.0,0.0,0.0,2016
26,Austria,JORDAN,AMMAN,3909.0,3387.0,413.0,0.10868421052631579,2016
27,Austria,KAZAKHSTAN,ASTANA,3608.0,3571.0,34.0,0.00943134535367545,2016
28,Austria,KENYA,NAIROBI,1068.0,1018.0,44.0,0.04143126177024482,2016
29,Austria,KUWAIT,KUWAIT,10896.0,10619.0,80.0,0.007477334330311244,2016
30,Austria,LEBANON,BEIRUT,2303.0,2141.0,86.0,0.038616973506960035,2016
31,Austria,MALAYSIA,KUALA LUMPUR,450.0,414.0,36.0,0.08,2016
