consulate_country,consulate_country_code,visitor_visa_refusal_rate
Afghanistan,AFG,0.10184002047047665
Albania,ALB,0.117589184484497
Algeria,DZA,0.4246639844386978
Andorra,AND,0.0144498062517968
Angola,AGO,0.3747852527822393
Argentina,ARG,0.11264166910022516
Armenia,ARM,0.09851442136054935
Australia,AUS,0.05192295004213531
Austria,AUT,0.06334545664229575
Azerbaijan,AZE,0.07440321069345746
Bahrain,BHR,0.10572121961269039
Bangladesh,BGD,0.2662211803225503
Belarus,BLR,0.01532191432838264
Belgium,BEL,0.09986662247774339
Benin,BEN,0.2443007076943984
Bermuda,BMU,0.0666666666666666
Bolivia,BOL,0.21816890069509337
Bosnia and Herzegovina,BIH,0.07311482128896926
Botswana,BWA,0.0405729524365907
Brazil,BRA,0.21516413139096424
Bulgaria,BGR,0.06988551040474213
Burkina Faso,BFA,0.18913355321810055
Burundi,BDI,0.1829846663531629
Cabo Verde,CPV,0.31508992732204094
Cambodia,KHM,0.11968234884904198
Cameroon,CMR,0.3381351292265592
Canada,CAN,0.043592707216850046
Central African Republic,CAF,0.2970710728735697
Chad,TCD,0.289062542239697
Chile,CHL,0.15886548722667174
China,CHN,0.05860816870170046
Colombia,COL,0.10109606830607051
Comoros,COM,0.4576455776867062
"Congo, Dem. Rep.",COD,0.3088004164070752
"Congo, Rep.",COG,0.3654516516209295
Costa Rica,CRI,0.044381995845527475
Croatia,HRV,0.09026023971035471
Cuba,CUB,0.1819645341361168
Cyprus,CYP,0.15633630131296494
Czechia,CZE,0.10844017094017094
Côte d’Ivoire,CIV,0.3295137358159008
Denmark,DNK,0.06100495871552125
Djibouti,DJI,0.22219918095628835
Dominican Republic,DOM,0.25716368732744355
Ecuador,ECU,0.15461664604891576
"Egypt, Arab Rep.",EGY,0.23039393946704503
El Salvador,SLV,0.003460207612456747
Equatorial Guinea,GNQ,0.23183305355656905
Eritrea,ERI,0.3052358436465062
Estonia,EST,0.0
Ethiopia,ETH,0.23271994717646008
Fiji,FJI,0.3333333333333333
Finland,FIN,0.07285622179239201
France,FRA,0.07236896465335756
Gabon,GAB,0.3334662365693201
Georgia,GEO,0.22846316315758833
Germany,DEU,0.09380782827685613
Ghana,GHA,0.457440910372921
Greece,GRC,0.09382902400221667
Guatemala,GTM,0.01351241996273718
Guinea,GIN,0.41917197268347506
Guinea-Bissau,GNB,0.39040089940541517
Haiti,HTI,0.3635079459185544
Honduras,HND,0.042236086353733396
Hungary,HUN,0.052911511826953
Iceland,ISL,0.14285714285714285
India,IND,0.17921699992260376
Indonesia,IDN,0.04264886659499385
"Iran, Islamic Rep.",IRN,0.2834326689924119
Iraq,IRQ,0.2800545368840429
Ireland,IRL,0.03650162833015964
Israel,ISR,0.1058306166616009
Italy,ITA,0.08180009525984663
Jamaica,JAM,0.08078100987751996
Japan,JPN,0.06076836766886807
Jordan,JOR,0.18469141468482783
Kazakhstan,KAZ,0.07345292005258026
Kenya,KEN,0.19870941242277348
"Korea, Dem. People's Rep.",PRK,0.04567901234567901
"Korea, Rep.",KOR,0.15120008997167403
Kosovo,XKX,0.5096231286979886
Kuwait,KWT,0.07539652555466965
