reporting_year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
2005,0.07970503064269452,0.0565729436088998,0.10541315032529124,0.139436108790161,0.028956110588246296,0.19461432024381975,0.1627981537446868
2006,0.07594430355506648,0.07482756029560701,0.12393819995261252,0.1586913630006316,0.031018385600901865,0.18983161302452065,0.17989688367652934
2007,0.07402545330726336,0.06583285697404491,0.12417365613178405,0.15156652200352888,0.03394361551931944,0.19088895357557575,0.1797687986373105
2008,0.0698847688839046,0.06728989543632599,0.13197834879259435,0.1499122940432383,0.032543773143528056,0.21106371506753105,0.18699515828643032
2009,0.0671909545769834,0.06993849957534695,0.1030454012140344,0.14411283848933473,0.03298882584750849,0.19711035470705993,0.20880296710778204
2010,0.06433599080457619,0.09746919594736556,0.13807735336511165,0.12919221901318834,0.04226708750860437,0.20614466552873728,0.18266132967779372
2011,0.06471931163623527,0.08922762040246802,0.10488880450341595,0.1420780986528508,0.04724906807016222,0.18692320401781828,0.19851249904360724
2012,0.05241062295300009,0.07421929118664015,0.08377000621532288,0.139278971643496,0.02415537966397738,0.18791989065927234,0.22648281675071413
2013,0.05359433283378722,0.07514811287874984,0.07825721861634984,0.14659718144705006,0.02636236527094667,0.18678555256430265,0.21508779872357217
2014,0.03810250107827928,0.07736467437725485,0.0725567433312279,0.13515471850158772,0.02175510176881724,0.16755791559586827,0.20482636217825598
2015,0.03655719475855598,0.061186010344991,0.06519247917266242,0.13119852715020788,0.015962647957046643,0.17825244992822223,0.185834314635892
2016,0.04509616102051772,0.06436948271572746,0.09644630322117748,0.1348354719272606,0.015268288758309522,0.18798903503557052,0.19188820391063485
2017,0.04939612342175202,0.06686717621536702,0.09682640489121817,0.1722372830164485,0.020089001421852798,0.2028554418882557,0.22349380561728263
2018,0.052398954321211964,0.07933502757621468,0.1298049582763365,0.20200706085214404,0.022658662763875008,0.20103261363448605,0.22812951247402188
2019,0.05578468453919533,0.08730667618266069,0.12975412688749008,0.19473556701247224,0.026476916039518295,0.2198988647299407,0.2426079432106301
2020,0.09393166735727779,0.10984740615263439,0.18695380098495687,0.24758980582364093,0.049580915350749086,0.27493158911035703,0.29129713213890324
2021,0.08950958951534489,0.08319212983514067,0.12584086789580803,0.16758918889818153,0.044900896357998786,0.22682326312851803,0.2109356402788872
2022,0.08072205870054505,0.10286034168234273,0.13671461463360093,0.21495263408419465,0.034798314364451695,0.27370340731380866,0.26169455447642975
