reporting_year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
2005,0.11327838707283622,0.1218070345579272,0.14860615312549835,0.16302049874776442,0.09326678963794331,0.17167957816363583,0.17787316648640744
2006,0.08938092512957313,0.1470382987704487,0.13889237419342862,0.15886313527058674,0.0425673876342535,0.14759483408049173,0.16903763818056197
2007,0.10569408549748528,0.13939282034020772,0.17605643920468045,0.15362880503319157,0.08760622127224864,0.16274727338229436,0.18552133544818056
2008,0.09167313776471026,0.14957029178341993,0.1745311577581145,0.14806978482400546,0.06598625177950417,0.17883007525508146,0.192850249103972
2009,0.10117915186455285,0.1531568829829684,0.13700416961179734,0.1518350601427208,0.085039521609604,0.1914643966751898,0.21408158904180077
2010,0.09874342478811515,0.18979656082616078,0.17405569207181823,0.141887617120389,0.10000799271190436,0.18663136780538475,0.19066878288364075
2011,0.1077173691565434,0.18325770071757783,0.1638753089808476,0.14766401963954814,0.12754943155727594,0.1693527648834612,0.19439299574306662
2012,0.08815366731882507,0.17230736957719384,0.1578794157404811,0.15065511644363105,0.08531020390660028,0.17692198501365924,0.22443369712693462
2013,0.11208891125714845,0.1767328393109671,0.13190694765488978,0.146425521645501,0.08653772253563237,0.17903247940298012,0.21440230149858547
2014,0.06080510630552731,0.18575622749226292,0.1386394822034412,0.12453833159542035,0.03417046257610804,0.13699189635294196,0.19778949708365423
2015,0.0565700633390239,0.16046349124613593,0.08618144709440143,0.11662462935882358,0.01920828752304003,0.15857258259983792,0.17682005180989954
2016,0.06500774762785828,0.16265292274139886,0.13979968250882407,0.11455804932398096,0.02232209372744314,0.16328671561352398,0.17070957153904584
2017,0.07864455506000789,0.15974708535244894,0.1413524782723904,0.14630457839304187,0.03911800550990417,0.1535789428547251,0.19520108064345953
2018,0.0733984531813088,0.16546280569573937,0.18409698543126846,0.17416126763932838,0.0374533645595063,0.15855545020878717,0.18584287372112618
2019,0.07784617444028696,0.17668200721460434,0.16285005802749347,0.1590778136014314,0.04015804055111209,0.16643426154669108,0.18394846373306872
2020,0.13807025379099547,0.1962113304188735,0.25150992387884663,0.1933049919795515,0.07799741737516293,0.21485068014893374,0.21438680410510483
2021,0.1264526389286865,0.158386129714444,0.1878993680869868,0.15432304711759134,0.07371018364897873,0.17064353844386995,0.18355564889547424
2022,0.10248451423214855,0.17060566053711304,0.1791998919849881,0.16885462490457923,0.05912304615275189,0.1625304197376813,0.2000164848159347
