reporting_year,reporting_state,consulate_country,consulate_country_region,consulate_country_income_group,consulate_city,visitor_visa_applications,visitor_visa_issued,visitor_visa_not_issued,visitor_visa_refusal_rate
2022,Austria,Albania,Europe & Central Asia,Upper middle income,TIRANA,50,39,6,0.13333333333333333
2022,Austria,Algeria,Middle East & North Africa,Lower middle income,ALGIERS,2047,1213,831,0.40655577299412915
2022,Austria,Argentina,Latin America & Caribbean,Upper middle income,BUENOS AIRES,18,18,0,0.0
2022,Austria,Australia,East Asia & Pacific,High income,CANBERRA,1776,1751,22,0.012408347433728144
2022,Austria,Azerbaijan,Europe & Central Asia,Upper middle income,BAKU,1788,1751,33,0.018497757847533634
2022,Austria,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,SARAJEVO,1543,1270,13,0.010132501948558068
2022,Austria,Brazil,Latin America & Caribbean,Upper middle income,BRASILIA,50,23,0,0.0
2022,Austria,Bulgaria,Europe & Central Asia,Upper middle income,SOFIA,382,367,4,0.01078167115902965
2022,Austria,Canada,North America,High income,OTTAWA,651,632,8,0.0125
2022,Austria,Chile,Latin America & Caribbean,High income,SANTIAGO,21,21,0,0.0
2022,Austria,China,East Asia & Pacific,Upper middle income,BEIJING,1129,819,310,0.2745792736935341
2022,Austria,China,East Asia & Pacific,Upper middle income,SHANGHAI,488,471,17,0.03483606557377049
2022,Austria,Colombia,Latin America & Caribbean,Upper middle income,BOGOTA,29,28,0,0.0
2022,Austria,Croatia,Europe & Central Asia,High income,ZAGREB,260,158,89,0.3603238866396761
2022,Austria,Cuba,Latin America & Caribbean,Upper middle income,HAVANA,667,428,239,0.3583208395802099
2022,Austria,Cyprus,Europe & Central Asia,High income,NICOSIA,1588,1532,52,0.03282828282828283
2022,Austria,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,CAIRO,3529,2947,566,0.16111585539424994
2022,Austria,Ethiopia,Sub-Saharan Africa,Low income,ADDIS ABABA,1099,743,345,0.3170955882352941
2022,Austria,Georgia,Europe & Central Asia,Upper middle income,TBILISI,7,6,1,0.14285714285714285
2022,Austria,Germany,Europe & Central Asia,High income,MUNICH,129,123,1,0.008064516129032258
2022,Austria,China,East Asia & Pacific,Upper middle income,HONG KONG,183,181,2,0.01092896174863388
2022,Austria,India,South Asia,Lower middle income,NEW DELHI,24791,18835,5945,0.23991121872477805
2022,Austria,Indonesia,East Asia & Pacific,Upper middle income,JAKARTA,4442,4426,16,0.0036019810895992796
2022,Austria,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,TEHERAN,4343,3236,974,0.23135391923990498
2022,Austria,Ireland,Europe & Central Asia,High income,DUBLIN,897,867,30,0.033444816053511704
2022,Austria,Israel,Middle East & North Africa,High income,TEL AVIV,556,483,57,0.10555555555555556
2022,Austria,Japan,East Asia & Pacific,High income,TOKYO,218,216,2,0.009174311926605505
2022,Austria,Jordan,Middle East & North Africa,Lower middle income,AMMAN,4147,3367,767,0.18553459119496854
2022,Austria,Kazakhstan,Europe & Central Asia,Upper middle income,ASTANA,4246,3126,1138,0.2668855534709193
2022,Austria,Kenya,Sub-Saharan Africa,Lower middle income,NAIROBI,1257,865,392,0.3118536197295147
2022,Austria,Kuwait,Middle East & North Africa,High income,KUWAIT CITY,4950,4461,419,0.08586065573770492
2022,Austria,Lebanon,Middle East & North Africa,Lower middle income,BEIRUT,526,415,108,0.20650095602294455
2022,Austria,Malaysia,East Asia & Pacific,Upper middle income,KUALA LUMPUR,486,470,16,0.03292181069958848
2022,Austria,Mexico,Latin America & Caribbean,Upper middle income,MEXICO CITY,34,30,0,0.0
2022,Austria,Morocco,Middle East & North Africa,Lower middle income,RABAT,1503,956,534,0.35838926174496644
2022,Austria,Nigeria,Sub-Saharan Africa,Lower middle income,ABUJA,1720,1093,623,0.36305361305361306
2022,Austria,North Macedonia,Europe & Central Asia,Upper middle income,SKOPJE,861,144,78,0.35135135135135137
2022,Austria,Oman,Middle East & North Africa,High income,MUSCAT,1914,1830,84,0.0438871473354232
2022,Austria,Pakistan,South Asia,Lower middle income,ISLAMABAD,1363,668,84,0.11170212765957446
2022,Austria,Peru,Latin America & Caribbean,Upper middle income,LIMA,27,27,0,0.0
2022,Austria,Philippines,East Asia & Pacific,Lower middle income,MANILA,2404,2195,209,0.08693843594009984
2022,Austria,Romania,Europe & Central Asia,High income,BUCHAREST,193,181,9,0.04736842105263158
2022,Austria,Russian Federation,Europe & Central Asia,Upper middle income,MURMANSK,13292,9523,3690,0.27927041549988646
2022,Austria,Saudi Arabia,Middle East & North Africa,High income,RIYADH,16695,16387,297,0.01780148645408775
2022,Austria,Senegal,Sub-Saharan Africa,Lower middle income,DAKAR,613,375,237,0.3872549019607843
2022,Austria,Serbia,Europe & Central Asia,Upper middle income,BELGRADE,795,758,21,0.026957637997432605
2022,Austria,Slovak Republic,Europe & Central Asia,High income,BRATISLAVA,80,77,1,0.01282051282051282
2022,Austria,Slovenia,Europe & Central Asia,High income,LJUBLJANA,54,51,1,0.019230769230769232
2022,Austria,South Africa,Sub-Saharan Africa,Upper middle income,PRETORIA,5552,5301,185,0.03372220196864747
2022,Austria,"Korea, Rep.",East Asia & Pacific,High income,SEOUL,107,97,10,0.09345794392523364
2022,Austria,Syrian Arab Republic,Middle East & North Africa,Low income,DAMASCUS,358,153,197,0.5628571428571428
2022,Austria,"Taiwan, China",East Asia & Pacific,High income,TAIPEI,74,72,2,0.02702702702702703
2022,Austria,Thailand,East Asia & Pacific,Upper middle income,BANGKOK,8453,8140,312,0.036914339801230475
2022,Austria,Tunisia,Middle East & North Africa,Lower middle income,TUNIS,2152,1295,852,0.39683278993945037
2022,Austria,Türkiye,Europe & Central Asia,Upper middle income,ISTANBUL,12815,10189,2613,0.2041087330104671
2022,Austria,Ukraine,Europe & Central Asia,Lower middle income,KYIV,98,77,21,0.21428571428571427
2022,Austria,United Arab Emirates,Middle East & North Africa,High income,ABU DHABI,5800,4543,1080,0.19206829094789257
2022,Austria,United Kingdom,Europe & Central Asia,High income,LONDON,2729,2525,191,0.0703240058910162
2022,Austria,United States,North America,High income,LOS ANGELES,748,729,18,0.024096385542168676
2022,Austria,United States,North America,High income,NEW YORK,1249,1181,52,0.042173560421735604
2022,Austria,United States,North America,High income,WASHINGTON,484,459,23,0.04771784232365145
2022,Austria,Vietnam,East Asia & Pacific,Lower middle income,HANOI,1106,931,157,0.14430147058823528
2022,Belgium,Albania,Europe & Central Asia,Upper middle income,TIRANA,0,0,0,
2022,Belgium,Algeria,Middle East & North Africa,Lower middle income,ALGIERS,6005,3078,2503,0.4484859344203548
2022,Belgium,Angola,Sub-Saharan Africa,Lower middle income,LUANDA,1353,670,581,0.4644284572342126
2022,Belgium,Argentina,Latin America & Caribbean,Upper middle income,BUENOS AIRES,10,7,1,0.125
2022,Belgium,Australia,East Asia & Pacific,High income,CANBERRA,248,226,2,0.008771929824561403
2022,Belgium,Austria,Europe & Central Asia,High income,VIENNA,1,1,0,0.0
2022,Belgium,Belgium,Europe & Central Asia,High income,BRUSSELS,35,32,0,0.0
2022,Belgium,Brazil,Latin America & Caribbean,Upper middle income,SAO PAULO,44,29,11,0.275
2022,Belgium,Bulgaria,Europe & Central Asia,Upper middle income,SOFIA,163,132,18,0.12
2022,Belgium,Burkina Faso,Sub-Saharan Africa,Low income,OUAGADOUGOU,2247,1695,373,0.18036750483558994
2022,Belgium,Burundi,Sub-Saharan Africa,Low income,BUJUMBURA,3046,1846,1094,0.37210884353741497
2022,Belgium,Cameroon,Sub-Saharan Africa,Lower middle income,YAOUNDE,5098,2532,2263,0.4719499478623566
2022,Belgium,Canada,North America,High income,MONTREAL,934,771,74,0.08757396449704143
2022,Belgium,Chile,Latin America & Caribbean,High income,SANTIAGO,25,23,1,0.041666666666666664
2022,Belgium,China,East Asia & Pacific,Upper middle income,BEIJING,2519,2279,80,0.03391267486222976
2022,Belgium,China,East Asia & Pacific,Upper middle income,GUANGZHOU,139,129,4,0.03007518796992481
2022,Belgium,China,East Asia & Pacific,Upper middle income,SHANGHAI,117,105,1,0.009433962264150943
2022,Belgium,Colombia,Latin America & Caribbean,Upper middle income,BOGOTA,30,28,1,0.034482758620689655
2022,Belgium,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,KINSHASA,23713,14987,8150,0.3522496434282751
2022,Belgium,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,LUBUMBASHI,2293,1795,424,0.1910770617395223
2022,Belgium,Côte d’Ivoire,Sub-Saharan Africa,Lower middle income,ABIDJAN,2601,1471,958,0.39440098806093044
2022,Belgium,Croatia,Europe & Central Asia,High income,ZAGREB,29,17,9,0.34615384615384615
2022,Belgium,Cuba,Latin America & Caribbean,Upper middle income,HAVANA,1513,855,516,0.37636761487964987
2022,Belgium,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,CAIRO,3193,2076,980,0.3206806282722513
2022,Belgium,Ethiopia,Sub-Saharan Africa,Low income,ADDIS ABABA,1480,883,544,0.38121934127540297
2022,Belgium,Finland,Europe & Central Asia,High income,HELSINKI,1,1,0,0.0
2022,Belgium,France,Europe & Central Asia,High income,PARIS,3,2,1,0.3333333333333333
2022,Belgium,Germany,Europe & Central Asia,High income,BERLIN,2,2,0,0.0
2022,Belgium,Greece,Europe & Central Asia,High income,ATHENS,3,3,0,0.0
2022,Belgium,China,East Asia & Pacific,Upper middle income,HONG KONG,433,385,15,0.0375
2022,Belgium,Hungary,Europe & Central Asia,High income,BUDAPEST,2,2,0,0.0
2022,Belgium,India,South Asia,Lower middle income,MUMBAI,13643,11159,2207,0.16512045488553045
2022,Belgium,India,South Asia,Lower middle income,NEW DELHI,4824,4143,577,0.12224576271186441
2022,Belgium,Indonesia,East Asia & Pacific,Upper middle income,JAKARTA,402,375,18,0.04580152671755725
2022,Belgium,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,TEHERAN,1388,851,283,0.2495590828924162
2022,Belgium,Ireland,Europe & Central Asia,High income,DUBLIN,828,800,5,0.006211180124223602
2022,Belgium,Israel,Middle East & North Africa,High income,JERUSALEM,545,380,139,0.2678227360308285
2022,Belgium,Israel,Middle East & North Africa,High income,TEL AVIV,80,60,15,0.2
2022,Belgium,Italy,Europe & Central Asia,High income,ROME,8,6,0,0.0
2022,Belgium,Jamaica,Latin America & Caribbean,Upper middle income,KINGSTON,725,493,93,0.15870307167235495
2022,Belgium,Japan,East Asia & Pacific,High income,TOKYO,176,160,11,0.06432748538011696
2022,Belgium,Jordan,Middle East & North Africa,Lower middle income,AMMAN,1891,796,1005,0.558023320377568
2022,Belgium,Kenya,Sub-Saharan Africa,Lower middle income,NAIROBI,1309,961,275,0.22249190938511326
2022,Belgium,Kuwait,Middle East & North Africa,High income,KUWAIT CITY,2770,2397,354,0.128680479825518
